"Feature","Coefficient","Average level","T_statistic","P_value","Adjusted p_value","Associated proportions","Gene_ID","Description","sig","negLogPval"
"GCG",16,9.95,7.52,3.36e-11,5.24e-09,"None","2641","glucagon","up",10.4736607226102
"CHGA",9.17,6.36,4.48,2.16e-05,0.00168,"None","1113","chromogranin A","up",4.66554624884907
"B2M",8.07,6.5,4.36,3.41e-05,0.00177,"None","567","beta-2-microglobulin","up",4.4672456210075
"ARX",9.88,0.716,4.04,0.000108,0.00422,"None","170302","aristaless related homeobox","up",3.96657624451305
"CHGB",9.14,6.43,3.92,0.000167,0.00521,"None","1114","chromogranin B","up",3.77728352885242
"KIT",17.8,-2.34,3.35,0.00141,0.0367,"None","3815","KIT proto-oncogene, receptor tyrosine kinase","up",2.85078088734462
"FOXE1",-9.73,-2.52,-3.18,0.00198,0.0441,"None","2304","forkhead box E1","down",2.70333480973847
"RBPJ",6.97,0.371,3.12,0.00243,0.0474,"None","3516","recombination signal binding protein for immunoglobulin kappa J region","up",2.61439372640169
"UCN3",7.32,0.651,2.98,0.00367,0.0634,"None","114131","urocortin 3","NS",2.43533393574791
"HAND1",8.86,-2.78,2.95,0.00406,0.0634,"None","9421","heart and neural crest derivatives expressed 1","NS",2.39147396642281
"OTX2",-11.3,-2.4,-2.91,0.00457,0.0637,"--","5015","orthodenticle homeobox 2","NS",2.34008379993015
"HNF4A",4.57,-0.559,2.88,0.0049,0.0637,"None","3172","hepatocyte nuclear factor 4 alpha","NS",2.30980391997149
"SLC2A2",-7.34,-0.513,-2.78,0.00657,0.0788,"None","6514","solute carrier family 2 member 2","NS",2.18243463044022
"CXCR4",9.14,-2.37,2.74,0.00731,0.0814,"None","7852","C-X-C motif chemokine receptor 4","NS",2.13608262304214
"PDX1",-7.88,-0.495,-2.67,0.00884,0.0862,"None","3651","pancreatic and duodenal homeobox 1","NS",2.05354773498693
"GLP1R",-5.03,0.272,-2.67,0.00903,0.0862,"None","2740","glucagon like peptide 1 receptor","NS",2.04431224968649
"WT1",17.2,-4.05,2.69,0.00939,0.0862,"None","7490","WT1 transcription factor","NS",2.02733440773389
"SOX2",-8.5,-2.36,-2.63,0.00998,0.0865,"None","6657","SRY-box transcription factor 2","NS",2.00086945871263
"DPY30",-3.8,1.61,-2.36,0.0218,0.179,"None","84661","dpy-30 histone methyltransferase complex regulatory subunit","NS",1.6615435063954
"CCL22",10.4,-1.45,2.29,0.0255,0.19,"None","6367","C-C motif chemokine ligand 22","NS",1.59345981956604
"GSC",7.04,-2.68,2.24,0.0272,0.193,"None","145258","goosecoid homeobox","NS",1.5654310959658
"NPAS4",-4.54,-0.624,-2.19,0.0311,0.21,"None","266743","neuronal PAS domain protein 4","NS",1.50723961097316
"HADH",-4.07,3.77,-2.17,0.0329,0.21,"Endocrine","3033","hydroxyacyl-CoA dehydrogenase","NS",1.48280410205003
"ASH2L",3.14,0.188,2.15,0.034,0.21,"--","9070","ASH2 like, histone lysine methyltransferase complex subunit","NS",1.46852108295774
"FOXD3",-8.36,-2.2,-2.14,0.035,0.21,"None","27022","forkhead box D3","NS",1.45593195564972
"PAX4",6.47,-2.72,2.11,0.0374,0.216,"None","5078","paired box 4","NS",1.42712839779952
"ZIC1",5.89,-3.5,2.06,0.0417,0.233,"--","7545","Zic family member 1","NS",1.37986394502624
"WDR5",-2.25,0.0134,-2.02,0.0464,0.25,"--","11091","WD repeat domain 5","NS",1.33348201944512
"PECAM1",4.87,0.171,1.99,0.0494,0.257,"None","5175","platelet and endothelial cell adhesion molecule 1","NS",1.30627305107635
"EIF5B",4.16,0.486,1.97,0.0565,0.284,"None","9669","eukaryotic translation initiation factor 5B","NS",1.24795155218056
