"Feature","Coefficient","Average level","T_statistic","P_value","Adjusted p_value","Associated proportions","Gene_ID","Description","sig","negLogPval"
"GCG",-14.1,9.95,-6.33,8.38e-09,1.31e-06,"None","2641","glucagon","down",8.07675598136972
"B2M",-8,6.5,-4.38,3.09e-05,0.00241,"None","567","beta-2-microglobulin","down",4.51004152057517
"SLC2A2",10.4,-0.513,4.17,6.75e-05,0.00351,"None","6514","solute carrier family 2 member 2","up",4.17069622716897
"CHGB",-8.98,6.43,-3.91,0.000177,0.00689,"None","1114","chromogranin B","down",3.75202673363819
"GLP1R",6.76,0.272,3.76,0.000293,0.00913,"None","2740","glucagon like peptide 1 receptor","up",3.53313237964589
"HADH",6,3.77,3.34,0.0012,0.0286,"Endocrine","3033","hydroxyacyl-CoA dehydrogenase","up",2.92081875395238
"ARX",-8.2,0.716,-3.32,0.00128,0.0286,"None","170302","aristaless related homeobox","down",2.89279003035213
"LDHA",-8.27,1.26,-3.19,0.00192,0.0359,"Non-endocrine","3939","lactate dehydrogenase A","down",2.71669877129645
"CHGA",-6.68,6.36,-3.16,0.00214,0.0359,"None","1113","chromogranin A","down",2.66958622665081
"RBPJ",-6.9,0.371,-3.13,0.0023,0.0359,"None","3516","recombination signal binding protein for immunoglobulin kappa J region","down",2.63827216398241
"PDX1",8.37,-0.495,2.9,0.00465,0.066,"None","3651","pancreatic and duodenal homeobox 1","NS",2.33254704711005
"MAFA",5.87,0.505,2.85,0.00546,0.071,"Endocrine","389692","MAF bZIP transcription factor A","NS",2.26280735729526
"GSC",-7.97,-2.68,-2.6,0.0108,0.129,"None","145258","goosecoid homeobox","NS",1.96657624451305
"NPAS4",4.98,-0.624,2.45,0.0162,0.181,"None","266743","neuronal PAS domain protein 4","NS",1.79048498545737
"HAND1",-7.15,-2.78,-2.38,0.0195,0.195,"None","9421","heart and neural crest derivatives expressed 1","NS",1.70996538863748
"G6PC2",7.68,3.61,2.35,0.021,0.195,"None","57818","glucose-6-phosphatase catalytic subunit 2","NS",1.67778070526608
"MAFB",5.13,0.815,2.34,0.0213,0.195,"None","9935","MAF bZIP transcription factor B","NS",1.67162039656126
"DPY30",3.58,1.61,2.27,0.0266,0.231,"None","84661","dpy-30 histone methyltransferase complex regulatory subunit","NS",1.57511836336893
"CXCR4",-7.16,-2.37,-2.15,0.0342,0.258,"None","7852","C-X-C motif chemokine receptor 4","NS",1.46597389394386
