"Feature","Coefficient","Average level","T_statistic","P_value","Adjusted p_value","Associated proportions","Gene_ID","Description","sig","negLogPval"
"SST",-6.15,7.21,-6.94,5.19e-10,8.1e-08,"Endocrine","6750","somatostatin","down",9.28483264215154
"PCSK1",-5.42,3.73,-6.51,3.78e-09,2.95e-07,"None","5122","proprotein convertase subtilisin/kexin type 1","down",8.42250820016277
"CHGA",-3.78,6.36,-5.82,8.35e-08,3.64e-06,"None","1113","chromogranin A","down",7.0783135245164
"HADH",-3.21,3.77,-5.79,9.33e-08,3.64e-06,"Endocrine","3033","hydroxyacyl-CoA dehydrogenase","down",7.0301183562535
"MYC",4.2,0.0106,5.56,2.62e-07,7.67e-06,"Non-endocrine","4609","MYC proto-oncogene, bHLH transcription factor","up",6.58169870868025
"ABCC8",-4.44,3.3,-5.53,2.95e-07,7.67e-06,"Endocrine","6833","ATP binding cassette subfamily C member 8","down",6.53017798402184
"INS",-5.56,12.6,-5.11,1.72e-06,3.83e-05,"None","3630","insulin","down",5.76447155309245
"PAX6",-3.11,3.06,-5.05,2.15e-06,4.2e-05,"None","5080","paired box 6","down",5.6675615400844
"INSM1",-3.69,1.86,-4.97,2.99e-06,5.18e-05,"Endocrine","3642","INSM transcriptional repressor 1","down",5.52432881167557
"GCK",-3.3,0.453,-4.84,5.14e-06,7.46e-05,"Endocrine","2645","glucokinase","down",5.28903688100472
"PTF1A",5.38,-0.664,4.83,5.26e-06,7.46e-05,"Non-endocrine","256297","pancreas associated transcription factor 1a","up",5.27901425584626
"MAFA",-3.15,0.505,-4.79,6.18e-06,8.03e-05,"Endocrine","389692","MAF bZIP transcription factor A","down",5.20901152491118
"ALB",6.52,1.96,4.71,8.62e-06,0.000103,"Non-endocrine","213","albumin","up",5.06449273417529
"BHLHA15",5,-0.44,4.67,1.01e-05,0.000112,"Non-endocrine","168620","basic helix-loop-helix family member a15","up",4.99567862621736
"CPE",-3.29,6.59,-4.64,1.14e-05,0.000119,"None","1363","carboxypeptidase E","down",4.94309514866353
"INSR",2.64,1.71,4.6,1.31e-05,0.000128,"Non-endocrine","3643","insulin receptor","up",4.88272870434424
