"Feature","Coefficient","Average level","T_statistic","P_value","Adjusted p_value","Associated proportions","Gene_ID","Description","sig","negLogPval"
"HADH",-20.4,3.76,-3.56,0.000598,0.0616,"Endocrine","3033","hydroxyacyl-CoA dehydrogenase","NS",3.22329881601159
"LDHA",28.1,1.27,3.41,0.000952,0.0616,"Non-endocrine","3939","lactate dehydrogenase A","NS",3.02136305161553
"NR5A2",33.4,-0.807,3.35,0.00118,0.0616,"Non-endocrine","2494","nuclear receptor subfamily 5 group A member 2","NS",2.92811799269387
"SOX9",31.1,0.301,3.16,0.00216,0.0844,"Non-endocrine","6662","SRY-box transcription factor 9","NS",2.66554624884907
"CHGA",-20.7,6.36,-3.02,0.00326,0.0872,"None","1113","chromogranin A","NS",2.48678239993206
"PTF1A",32.9,-0.657,2.9,0.00461,0.0872,"Non-endocrine","256297","pancreas associated transcription factor 1a","NS",2.33629907461035
"ALB",40.7,1.96,2.9,0.0047,0.0872,"Non-endocrine","213","albumin","NS",2.32790214206428
"HHEX",17,0.412,2.87,0.00515,0.0872,"None","3087","hematopoietically expressed homeobox","NS",2.28819277095881
"MYC",22.4,0.0129,2.82,0.00596,0.0872,"Non-endocrine","4609","MYC proto-oncogene, bHLH transcription factor","NS",2.22475374025976
"MAFA",-18.7,0.497,-2.81,0.0061,0.0872,"Endocrine","389692","MAF bZIP transcription factor A","NS",2.21467016498923
"ALDOB",41.5,0.817,2.75,0.00708,0.0872,"Non-endocrine","229","aldolase, fructose-bisphosphate B","NS",2.14996674231023
"OTX1",-22.8,-2.03,-2.75,0.00724,0.0872,"None","5013","orthodenticle homeobox 1","NS",2.14026143380285
"PCSK1N",-27,4.2,-2.85,0.00727,0.0872,"None","27344","proprotein convertase subtilisin/kexin type 1 inhibitor","NS",2.13846558914096
"FGF17",-23.8,-2.18,-2.63,0.00995,0.103,"None","8822","fibroblast growth factor 17","NS",2.00217691925427
"IAPP",-50.1,6.76,-2.55,0.0124,0.114,"None","3375","islet amyloid polypeptide","NS",1.90657831483776
"PAX4",-24.6,-2.73,-2.55,0.0124,0.114,"None","5078","paired box 4","NS",1.90657831483776
"GATA4",25.3,-1.42,2.52,0.0136,0.118,"Non-endocrine","2626","GATA binding protein 4","NS",1.86646109162978
"SLC2A2",-20.8,-0.52,-2.46,0.0159,0.124,"None","6514","solute carrier family 2 member 2","NS",1.79860287567955
"ALDH1A3",27.2,-0.393,2.44,0.0166,0.124,"None","220","aldehyde dehydrogenase 1 family member A3","NS",1.77989191195995
"INS",-27.6,12.6,-2.44,0.0167,0.124,"None","3630","insulin","NS",1.77728352885242
"KCNJ11",-15.4,-1.41,-2.39,0.0191,0.134,"None","3767","potassium inwardly rectifying channel subfamily J member 11","NS",1.71896663275227
"INSR",13.8,1.72,2.37,0.0197,0.134,"Non-endocrine","3643","insulin receptor","NS",1.70553377383841
"CDH1",12.8,2.82,2.32,0.0225,0.147,"None","999","cadherin 1","NS",1.64781748188864
"PCSK1",-21.4,3.73,-2.3,0.0235,0.147,"None","5122","proprotein convertase subtilisin/kexin type 1","NS",1.62893213772826
"CPE",-16.1,6.58,-2.21,0.0293,0.176,"None","1363","carboxypeptidase E","NS",1.53313237964589
"CPA1",34.1,8.26,2.18,0.0319,0.184,"Non-endocrine","1357","carboxypeptidase A1","NS",1.49620931694282
"G6PC2",-21.9,3.61,-2.05,0.0432,0.228,"None","57818","glucose-6-phosphatase catalytic subunit 2","NS",1.36451625318509
"UCN3",-16.4,0.655,-2.04,0.0438,0.228,"None","114131","urocortin 3","NS",1.3585258894959
"DKK4",-20.4,-2.19,-2.01,0.0468,0.236,"None","27121","dickkopf WNT signaling pathway inhibitor 4","NS",1.32975414692588
"IL1R1",36.9,-1.58,2.03,0.0499,0.243,"None","3554","interleukin 1 receptor type 1","NS",1.30189945437661
"INSM1",-15.3,1.86,-1.96,0.0529,0.25,"Endocrine","3642","INSM transcriptional repressor 1","NS",1.27654432796481
"GLP1R",-11.6,0.262,-1.91,0.0594,0.268,"None","2740","glucagon like peptide 1 receptor","NS",1.22621355501881
"WT1",-43.6,-4.05,-1.9,0.0628,0.268,"None","7490","WT1 transcription factor","NS",1.2020403562628
"GATA6",16.4,0.0363,1.87,0.0649,0.268,"Non-endocrine","2627","GATA binding protein 6","NS",1.18775530319963
"ABCC8",-16.1,3.29,-1.87,0.0651,0.268,"Endocrine","6833","ATP binding cassette subfamily C member 8","NS",1.18641901143181
"SST",-18.8,7.2,-1.86,0.0663,0.268,"Endocrine","6750","somatostatin","NS",1.17848647159523
"GSC",18.7,-2.68,1.85,0.0676,0.268,"None","145258","goosecoid homeobox","NS",1.17005330405836
"NPAS4",-12.3,-0.628,-1.84,0.0687,0.268,"None","266743","neuronal PAS domain protein 4","NS",1.16304326294045
"PAX6",-11.7,3.06,-1.8,0.0751,0.273,"None","5080","paired box 6","NS",1.12436006299583
"SCG5",-16.1,4.86,-1.82,0.0765,0.273,"None","6447","secretogranin V","NS",1.11633856484638
"ATP2A3",-22.1,2.25,-1.82,0.0769,0.273,"Endocrine","489","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3","NS",1.11407366019857
"SOX4",17.5,-1.3,1.79,0.077,0.273,"None","6659","SRY-box transcription factor 4","NS",1.11350927482752
"NANOG",-14.1,-2.42,-1.72,0.0896,0.31,"None","79923","Nanog homeobox","NS",1.04769199033787
"EOMES",-16.6,-1.82,-1.71,0.0915,0.31,"None","8320","eomesodermin","NS",1.03857890593355
"GCK",-11.8,0.444,-1.67,0.099,0.328,"Endocrine","2645","glucokinase","NS",1.00436480540245
"ITPR2",16.8,-0.303,1.67,0.103,0.334,"None","3709","inositol 1,4,5-trisphosphate receptor type 2","NS",0.987162775294828
"PPY",25.7,2.46,1.63,0.106,0.337,"None","5539","pancreatic polypeptide","NS",0.97469413473523
"POU5F1",10.8,-1.79,1.6,0.112,0.343,"None","5460","POU class 5 homeobox 1","NS",0.950781977329818
"EIF2D",-13.8,0.447,-1.62,0.114,0.343,"--","1939","eukaryotic translation initiation factor 2D","NS",0.943095148663527
"HAND1",-15.6,-2.8,-1.59,0.114,0.343,"None","9421","heart and neural crest derivatives expressed 1","NS",0.943095148663527
"PAM",-16.9,3.92,-1.55,0.131,0.385,"None","5066","peptidylglycine alpha-amidating monooxygenase","NS",0.882728704344236
"CYP1A1",-39.7,-3.25,-1.52,0.137,0.39,"None","1543","cytochrome P450 family 1 subfamily A member 1","NS",0.863279432843593
"MNX1",-10.4,-1.51,-1.5,0.138,0.39,"None","3110","motor neuron and pancreas homeobox 1","NS",0.860120913598763
"NEUROD1",-12.4,2.38,-1.47,0.144,0.401,"None","4760","neuronal differentiation 1","NS",0.84163750790475
"SLC2A1",-12.4,-1.76,-1.43,0.155,0.425,"None","6513","solute carrier family 2 member 1","NS",0.809668301829709
"CCL22",-23,-1.45,-1.42,0.162,0.435,"None","6367","C-C motif chemokine ligand 22","NS",0.790484985457369
"GLIS3",-6.82,1.24,-1.4,0.165,0.436,"Endocrine","169792","GLIS family zinc finger 3","NS",0.782516055786094
"MAFB",-9.83,0.817,-1.36,0.178,0.459,"None","9935","MAF bZIP transcription factor B","NS",0.749579997691106
"EIF5B",-10.1,0.482,-1.37,0.18,0.459,"None","9669","eukaryotic translation initiation factor 5B","NS",0.744727494896694
"EPAS1",6.74,1.52,1.32,0.189,0.475,"None","2034","endothelial PAS domain protein 1","NS",0.723538195826756
"GCGR",-10.4,-0.965,-1.31,0.195,0.476,"None","2642","glucagon receptor","NS",0.709965388637482
"ATP2A2",11.3,0.706,1.31,0.197,0.476,"--","488","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2","NS",0.705533773838407
"TBP",-8.14,-0.857,-1.3,0.198,0.476,"--","6908","TATA-box binding protein","NS",0.703334809738469
