"Feature","Coefficient","Average level","T_statistic","P_value","Adjusted p_value","Associated proportions","Gene_ID","Description","sig","negLogPval"
"FAP",11.8,1.27,12.6,1.68e-24,1.03e-20,"None","2191","fibroblast activation protein alpha","up",23.7746907182741
"DPP4",11.6,2.33,11.8,1.18e-22,3.61e-19,"None","1803","dipeptidyl peptidase 4","up",21.9281179926939
"KCTD12",11.8,3.05,11,1.31e-20,2.67e-17,"None","115207","potassium channel tetramerization domain containing 12","up",19.8827287043442
"DOP1B",6.71,0.204,10.7,1.1e-19,1.69e-16,"None","9980","DOP1 leucine zipper like protein B","up",18.9586073148418
"GCG",17.6,5.11,10.5,3.18e-19,3.91e-16,"None","2641","glucagon","up",18.4975728800156
"CKMT2",9.9,-1.58,10.4,6.26e-19,6.41e-16,"None","1160","creatine kinase, mitochondrial 2","up",18.2034256667896
"MAOB",7.55,3.68,10.3,1.02e-18,8.92e-16,"None","4129","monoamine oxidase B","up",17.9913998282381
"CYSTM1",6.36,1.99,10.2,1.41e-18,1.08e-15,"None","84418","cysteine rich transmembrane module containing 1","up",17.8507808873446
"LOXL4",14.1,0.735,10.2,1.73e-18,1.18e-15,"None","84171","lysyl oxidase like 4","up",17.7619538968712
"HECW2",7.75,-1.18,9.89,1.04e-17,6.4e-15,"None","57520","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2","up",16.9829666607012
"VSNL1",11,-0.567,9.83,1.51e-17,8.42e-15,"None","7447","visinin like 1","up",16.8210230527068
"TTR",12.1,4.76,9.3,3.19e-16,1.63e-13,"None","7276","transthyretin","up",15.4962093169428
"SQOR",6.31,3.2,9.17,6.53e-16,3.08e-13,"Non-endocrine","58472","sulfide quinone oxidoreductase","up",15.1850868187249
"PALLD",8.1,2.16,9.04,1.37e-15,6e-13,"None","23022","palladin, cytoskeletal associated protein","up",14.8632794328436
"SLC27A2",-5.51,-0.634,-9.01,1.7e-15,6.94e-13,"None","11001","solute carrier family 27 member 2","down",14.7695510786217
"CTSZ",7.86,4.02,8.92,2.71e-15,9.87e-13,"None","1522","cathepsin Z","up",14.5670307091256
"SMOC1",12.5,-1.03,8.92,2.73e-15,9.87e-13,"Non-endocrine","64093","SPARC related modular calcium binding 1","up",14.5638373529592
"ERP29",5.33,4.66,8.8,5.34e-15,1.82e-12,"None","10961","endoplasmic reticulum protein 29","up",14.2724587429714
"ABCB1",7.24,0.733,8.54,2.37e-14,7.67e-12,"None","5243","ATP binding cassette subfamily B member 1","up",13.6252516539899
"CLU",10.1,4.76,8.5,3.03e-14,9.31e-12,"None","1191","clusterin","up",13.5185573714977
"ABLIM2",6.66,-0.139,8.38,5.74e-14,1.68e-11,"None","84448","actin binding LIM protein family member 2","up",13.241088107602
"PDE3B",8.28,-1.34,8.26,1.13e-13,3.14e-11,"None","5140","phosphodiesterase 3B","up",12.9469215565166
"CKB",9.38,3.85,8.1,2.8e-13,7.46e-11,"None","1152","creatine kinase B","up",12.5528419686578
"SUMF2",5.46,2.44,8.06,3.47e-13,8.87e-11,"None","25870","sulfatase modifying factor 2","up",12.4596705252091
"SORBS1",5.4,0.241,8,4.88e-13,1.2e-10,"None","10580","sorbin and SH3 domain containing 1","up",12.3115801779973
"PRKCE",6.8,-1.51,7.92,7.44e-13,1.76e-10,"None","5581","protein kinase C epsilon","up",12.1284270644541
"SH3KBP1",5.23,-0.274,7.89,9.01e-13,2.05e-10,"--","30011","SH3 domain containing kinase binding protein 1","up",12.0452752090209
"BCAM",6.86,1.47,7.88,9.5e-13,2.08e-10,"None","4059","basal cell adhesion molecule (Lutheran blood group)","up",12.0222763947112
"KDF1",10.5,-2.28,7.78,1.67e-12,3.38e-10,"--","126695","keratinocyte differentiation factor 1","up",11.7772835288524
"RPS6KA3",4.74,2.38,7.78,1.67e-12,3.38e-10,"None","6197","ribosomal protein S6 kinase A3","up",11.7772835288524
"PCSK2",8.92,2.97,7.77,1.71e-12,3.38e-10,"None","5126","proprotein convertase subtilisin/kexin type 2","up",11.7670038896078
"GLS",5.64,3.1,7.74,2.04e-12,3.84e-10,"None","2744","glutaminase","up",11.6903698325741
"EPB41L1",-4.89,1.18,-7.74,2.07e-12,3.84e-10,"None","2036","erythrocyte membrane protein band 4.1 like 1","down",11.6840296545431
"SLC7A2",6.16,3.01,7.66,3.06e-12,5.53e-10,"None","6542","solute carrier family 7 member 2","up",11.5142785735184
"SLC7A14",7.78,-0.856,7.63,3.75e-12,6.57e-10,"None","57709","solute carrier family 7 member 14","up",11.4259687322723
"NPTN",3.49,1.59,7.52,6.6e-12,1.12e-09,"--","27020","neuroplastin","up",11.1804560644581
"TMEM176B",6.19,0.0134,7.47,8.6e-12,1.43e-09,"Non-endocrine","28959","transmembrane protein 176B","up",11.0655015487564
"F13A1",11.2,-0.0519,7.47,8.9e-12,1.44e-09,"None","2162","coagulation factor XIII A chain","up",11.0506099933551
"SCG2",8.92,2.56,7.42,1.14e-11,1.8e-09,"None","7857","secretogranin II","up",10.9430951486635
"A1CF",5.26,1.23,7.37,1.46e-11,2.22e-09,"None","29974","APOBEC1 complementation factor","up",10.8356471442156
"CRYBA2",7.97,0.0835,7.37,1.54e-11,2.22e-09,"None","1412","crystallin beta A2","up",10.8124792791635
"SERPINA1",10.7,2.62,7.36,1.57e-11,2.22e-09,"None","5265","serpin family A member 1","up",10.8041003475908
"GUSB",5.62,-0.00392,7.36,1.58e-11,2.22e-09,"--","2990","glucuronidase beta","up",10.8013429130456
"QDPR",5.96,3.6,7.36,1.59e-11,2.22e-09,"None","5860","quinoid dihydropteridine reductase","up",10.7986028756795
"PRKCA",-4.39,0.876,-7.19,3.95e-11,5.36e-09,"None","5578","protein kinase C alpha","down",10.4034029043735
"PAPPA2",7.34,-0.876,7.18,4.02e-11,5.36e-09,"None","60676","pappalysin 2","up",10.3957739469155
"RAB4B",3.5,1.52,7.12,5.64e-11,7.36e-09,"None","53916","RAB4B, member RAS oncogene family","up",10.2487208960167
"HMGB3",6.6,1.45,7.11,5.94e-11,7.6e-09,"None","3149","high mobility group box 3","up",10.2262135550188
"ITPR1",4.33,-0.658,6.99,1.15e-10,1.44e-08,"None","3708","inositol 1,4,5-trisphosphate receptor type 1","up",9.93930215964639
"NAT14",4.72,0.635,6.98,1.21e-10,1.48e-08,"None","57106","N-acetyltransferase 14 (putative)","up",9.91721462968355
"SCD5",-5.33,1.96,-6.97,1.25e-10,1.5e-08,"Endocrine","79966","stearoyl-CoA desaturase 5","down",9.90308998699194
"MYH10",4.52,3.13,6.96,1.29e-10,1.52e-08,"None","4628","myosin heavy chain 10","up",9.88941028970075
"GLIPR2",5.15,0.785,6.86,2.24e-10,2.59e-08,"None","152007","GLI pathogenesis related 2","up",9.64975198166584
"SIAE",4.03,0.526,6.82,2.74e-10,3.11e-08,"None","54414","sialic acid acetylesterase","up",9.56224943717961
"CAMK2G",4.7,-0.31,6.81,2.9e-10,3.23e-08,"--","818","calcium/calmodulin dependent protein kinase II gamma","up",9.53760200210104
"TUSC3",5.05,1.12,6.78,3.43e-10,3.76e-08,"None","7991","tumor suppressor candidate 3","up",9.46470587995723
"CFC1",7.12,3.16,6.76,3.63e-10,3.91e-08,"None","55997","cripto, FRL-1, cryptic family 1","up",9.44009337496389
"TUBB2B",-5.48,2.96,-6.73,4.38e-10,4.63e-08,"None","347733","tubulin beta 2B class IIb","down",9.3585258894959
"GC",11.3,2.84,6.68,5.64e-10,5.86e-08,"None","2638","GC vitamin D binding protein","up",9.24872089601666
"IRX2",11.2,-4.58,6.6,8.5e-10,8.7e-08,"None","153572","iroquois homeobox 2","up",9.07058107428571
"PDLIM4",5.96,0.628,6.55,1.1e-09,1.11e-07,"None","8572","PDZ and LIM domain 4","up",8.95860731484177
"BID",6.28,-1.05,6.53,1.22e-09,1.18e-07,"None","637","BH3 interacting domain death agonist","up",8.91364016932525
"SLC25A21",-6,-0.996,-6.53,1.22e-09,1.18e-07,"None","89874","solute carrier family 25 member 21","down",8.91364016932525
"NPC2",5.9,0.382,6.52,1.25e-09,1.18e-07,"None","10577","NPC intracellular cholesterol transporter 2","up",8.90308998699194
"GCH1",8.12,1.14,6.52,1.25e-09,1.18e-07,"--","2643","GTP cyclohydrolase 1","up",8.90308998699194
"ABHD15",5.4,0.275,6.49,1.47e-09,1.37e-07,"None","116236","abhydrolase domain containing 15","up",8.83268266525182
"MLIP",9.42,-0.588,6.45,1.78e-09,1.63e-07,"None","90523","muscular LMNA interacting protein","up",8.74957999769111
"CHGB",9.09,2.15,6.44,1.86e-09,1.67e-07,"None","1114","chromogranin B","up",8.73048705578208
"ITPK1",4.15,0.275,6.44,1.88e-09,1.67e-07,"--","3705","inositol-tetrakisphosphate 1-kinase","up",8.72584215073632
"TBC1D4",-3.75,-0.0613,-6.42,2.11e-09,1.85e-07,"Endocrine","9882","TBC1 domain family member 4","down",8.67571754470231
"RAB27A",4.17,2.65,6.41,2.2e-09,1.89e-07,"None","5873","RAB27A, member RAS oncogene family","up",8.65757731917779
"NENF",5.97,2.54,6.41,2.22e-09,1.89e-07,"None","29937","neudesin neurotrophic factor","up",8.65364702554936
