"Feature","Coefficient","Average level","T_statistic","P_value","Adjusted p_value","Associated proportions","Gene_ID","Description","sig","negLogPval"
"KCTD12",-12.8,3.05,-13.2,3.76e-26,2.31e-22,"None","115207","potassium channel tetramerization domain containing 12","down",25.4248121550723
"DOP1B",-6.99,0.204,-11.8,1.91e-22,5.86e-19,"None","9980","DOP1 leucine zipper like protein B","down",21.7189666327523
"FAP",-11,1.27,-11.1,1.13e-20,2.32e-17,"None","2191","fibroblast activation protein alpha","down",19.9469215565166
"CKB",-11.1,3.85,-10.9,3.03e-20,3.92e-17,"None","1152","creatine kinase B","down",19.5185573714977
"SMOC1",-13.9,-1.03,-10.9,3.2e-20,3.92e-17,"Non-endocrine","64093","SPARC related modular calcium binding 1","down",19.4948500216801
"PALLD",-8.82,2.16,-10.6,1.35e-19,1.38e-16,"None","23022","palladin, cytoskeletal associated protein","down",18.869666231505
"CYSTM1",-6.1,1.99,-9.68,3.59e-17,3.15e-14,"None","84418","cysteine rich transmembrane module containing 1","down",16.4449055514217
"GCG",-16.6,5.11,-9.62,5.12e-17,3.93e-14,"None","2641","glucagon","down",16.2907300390242
"CKMT2",-9.35,-1.58,-9.55,7.55e-17,5.15e-14,"None","1160","creatine kinase, mitochondrial 2","down",16.1220530483708
"A1CF",-6.16,1.23,-9.5,9.73e-17,5.97e-14,"None","29974","APOBEC1 complementation factor","down",16.0118871597316
"SH3KBP1",-5.83,-0.274,-9.47,1.21e-16,6.75e-14,"--","30011","SH3 domain containing kinase binding protein 1","down",15.9172146296835
"HECW2",-7.39,-1.18,-9.28,3.54e-16,1.81e-13,"None","57520","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2","down",15.4509967379742
"VSNL1",-10.5,-0.567,-9.16,6.89e-16,3.25e-13,"None","7447","visinin like 1","down",15.1617807780924
"ABCB1",-7.41,0.733,-8.99,1.88e-15,8.24e-13,"None","5243","ATP binding cassette subfamily B member 1","down",14.7258421507363
"SORBS1",-5.74,0.241,-8.91,2.9e-15,1.19e-12,"None","10580","sorbin and SH3 domain containing 1","down",14.537602002101
"BID",-7.72,-1.05,-8.89,3.29e-15,1.26e-12,"None","637","BH3 interacting domain death agonist","down",14.48280410205
"SCD5",6.22,1.96,8.86,3.93e-15,1.42e-12,"Endocrine","79966","stearoyl-CoA desaturase 5","up",14.4056074496246
"RPS6KA3",-5.12,2.38,-8.84,4.29e-15,1.46e-12,"None","6197","ribosomal protein S6 kinase A3","down",14.3675427078153
"QDPR",-6.63,3.6,-8.73,7.96e-15,2.57e-12,"None","5860","quinoid dihydropteridine reductase","down",14.0990869322623
"ABLIM2",-6.73,-0.139,-8.66,1.24e-14,3.58e-12,"None","84448","actin binding LIM protein family member 2","down",13.9065783148378
"PDLIM4",-7.19,0.628,-8.66,1.24e-14,3.58e-12,"None","8572","PDZ and LIM domain 4","down",13.9065783148378
"DPP4",-9.61,2.33,-8.65,1.28e-14,3.58e-12,"None","1803","dipeptidyl peptidase 4","down",13.8927900303521
"HMGB3",-7.44,1.45,-8.59,1.8e-14,4.8e-12,"None","3149","high mobility group box 3","down",13.7447274948967
"MAOB",-6.66,3.68,-8.51,2.85e-14,7.3e-12,"None","4129","monoamine oxidase B","down",13.5451551399915
"F13A1",-12.1,-0.0519,-8.46,3.74e-14,9.18e-12,"None","2162","coagulation factor XIII A chain","down",13.4271283977995
"SLC27A2",5.14,-0.634,8.22,1.4e-13,3.3e-11,"None","11001","solute carrier family 27 member 2","up",12.8538719643218
"CTSZ",-7.35,4.02,-8.18,1.84e-13,4.18e-11,"None","1522","cathepsin Z","down",12.7351821769905
"SERPINA1",-11.3,2.62,-8.12,2.44e-13,5.35e-11,"None","5265","serpin family A member 1","down",12.6126101736613
"EPB41L1",4.95,1.18,8,4.89e-13,1.03e-10,"None","2036","erythrocyte membrane protein band 4.1 like 1","up",12.3106911408764
"ALDH1A1",-6.26,6.63,-7.96,6.12e-13,1.25e-10,"None","216","aldehyde dehydrogenase 1 family member A1","down",12.2132485778544
"KDF1",-10.5,-2.28,-7.94,6.82e-13,1.35e-10,"--","126695","keratinocyte differentiation factor 1","down",12.1662156253435
"SLC25A21",6.8,-0.996,7.87,1.02e-12,1.95e-10,"None","89874","solute carrier family 25 member 21","up",11.9913998282381
"MLIP",-10.8,-0.588,-7.84,1.15e-12,2.13e-10,"None","90523","muscular LMNA interacting protein","down",11.9393021596464
"MUC13",-13.9,1.31,-7.79,1.54e-12,2.77e-10,"None","56667","mucin 13, cell surface associated","down",11.8124792791635
"VGF",-14.9,4.18,-7.73,2.16e-12,3.78e-10,"None","7425","VGF nerve growth factor inducible","down",11.6655462488491
"TTR",-10.6,4.76,-7.69,2.69e-12,4.59e-10,"None","7276","transthyretin","down",11.5702477199976
"OCRL",-5.02,1.85,-7.66,3.21e-12,5.32e-10,"None","4952","OCRL inositol polyphosphate-5-phosphatase","down",11.4934949675951
"HHATL",13.8,-0.0829,7.61,4.15e-12,6.63e-10,"None","57467","hedgehog acyltransferase like","up",11.3819519032879
"PRKCA",4.53,0.876,7.61,4.21e-12,6.63e-10,"None","5578","protein kinase C alpha","up",11.3757179041643
"ACADSB",4.46,2.63,7.56,5.49e-12,8.42e-10,"None","36","acyl-CoA dehydrogenase short/branched chain","up",11.2604276555499
"SQOR",-5.49,3.2,-7.54,5.85e-12,8.76e-10,"Non-endocrine","58472","sulfide quinone oxidoreductase","down",11.2328441339178
"TMEM176B",-6.13,0.0134,-7.47,8.61e-12,1.26e-09,"Non-endocrine","28959","transmembrane protein 176B","down",11.0649968485463
"SUMF2",-5.11,2.44,-7.42,1.14e-11,1.62e-09,"None","25870","sulfatase modifying factor 2","down",10.9430951486635
"SCG2",-8.83,2.56,-7.41,1.22e-11,1.71e-09,"None","7857","secretogranin II","down",10.9136401693253
"CHGB",-9.93,2.15,-7.36,1.62e-11,2.21e-09,"None","1114","chromogranin B","down",10.7904849854574
"ACAT1",3.25,4.33,7.29,2.29e-11,3.06e-09,"--","38","acetyl-CoA acetyltransferase 1","up",10.6401645176601
"VIL1",-9,1.66,-7.23,3.13e-11,4.09e-09,"None","7429","villin 1","down",10.5044556624536
"NPC2",-6.27,0.382,-7.18,4.19e-11,5.36e-09,"None","10577","NPC intracellular cholesterol transporter 2","down",10.3777859770337
