"Feature","Coefficient","Average level","T_statistic","P_value","Adjusted p_value","Associated proportions","Gene_ID","Description","sig","negLogPval"
"DYNC1LI2",11.4,1.78,6.9,1.78e-10,1.09e-06,"--","1783","dynein cytoplasmic 1 light intermediate chain 2","up",9.74957999769111
"UBQLN1",13.9,1.17,6.35,3.03e-09,8.1e-06,"--","29979","ubiquilin 1","up",8.51855737149769
"MEIS1",17.1,-0.0805,6.29,3.96e-09,8.1e-06,"--","4211","Meis homeobox 1","up",8.40230481407449
"TPD52",19,3.74,6.15,8.16e-09,9.26e-06,"None","7163","tumor protein D52","up",8.08830984124614
"CNOT3",10.6,0.319,6.12,9.29e-09,9.26e-06,"--","4849","CCR4-NOT transcription complex subunit 3","up",8.03198428600636
"ADRM1",10.5,2.02,6.09,1.06e-08,9.26e-06,"None","11047","adhesion regulating molecule 1","up",7.97469413473523
"PPME1",12.4,1.06,6.08,1.12e-08,9.26e-06,"--","51400","protein phosphatase methylesterase 1","up",7.95078197732982
"UBQLN2",19.4,0.488,6.06,1.29e-08,9.26e-06,"None","29978","ubiquilin 2","up",7.88941028970075
"UBAP2L",16.2,1.01,6.03,1.44e-08,9.26e-06,"--","9898","ubiquitin associated protein 2 like","up",7.84163750790475
"ACADVL",-10.6,3.92,-6.02,1.51e-08,9.26e-06,"--","37","acyl-CoA dehydrogenase very long chain","down",7.82102305270683
"STAU2",14.4,-0.457,6,1.7e-08,9.48e-06,"None","27067","staufen double-stranded RNA binding protein 2","up",7.76955107862173
"GTF2F1",15.7,-0.549,5.98,1.87e-08,9.55e-06,"--","2962","general transcription factor IIF subunit 1","up",7.7281583934635
"LUC7L",16.1,-0.756,5.96,2.08e-08,9.8e-06,"--","55692","LUC7 like","up",7.68193666503724
"PSMF1",13.8,1.45,5.87,3.23e-08,1.32e-05,"--","9491","proteasome inhibitor subunit 1","up",7.4907974776689
"PSIP1",14.2,1.36,5.86,3.4e-08,1.32e-05,"--","11168","PC4 and SFRS1 interacting protein 1","up",7.46852108295774
"IWS1",20,0.0315,5.85,3.44e-08,1.32e-05,"--","55677","interacts with SUPT6H, CTD assembly factor 1","up",7.46344155742847
"TPPP3",24,2.94,5.83,3.82e-08,1.38e-05,"Endocrine","51673","tubulin polymerization promoting protein family member 3","up",7.41793663708829
"ZFR",10.1,0.75,5.81,4.13e-08,1.41e-05,"None","51663","zinc finger RNA binding protein","up",7.3840499483436
"BCLAF1",10.3,2.59,5.73,6.18e-08,2e-05,"None","9774","BCL2 associated transcription factor 1","up",7.20901152491118
"TPD52L2",9.77,3,5.71,6.86e-08,2.1e-05,"--","7165","TPD52 like 2","up",7.16367588429325
"TSC22D4",14.5,-0.751,5.67,8.11e-08,2.37e-05,"--","81628","TSC22 domain family member 4","up",7.09097914578884
"TOM1",12.6,1.48,5.62,1.02e-07,2.82e-05,"None","10043","target of myb1 membrane trafficking protein","up",6.99139982823808
"ATG9A",13.3,-0.405,5.62,1.06e-07,2.82e-05,"--","79065","autophagy related 9A","up",6.97469413473523
"RCOR1",13.6,-1.56,5.6,1.13e-07,2.9e-05,"None","23186","REST corepressor 1","up",6.94692155651658
"SYAP1",16.3,-0.000453,5.59,1.19e-07,2.91e-05,"--","94056","synapse associated protein 1","up",6.92445303860747
"PAWR",18.6,-0.334,5.58,1.23e-07,2.91e-05,"--","5074","pro-apoptotic WT1 regulator","up",6.9100948885606
