"Feature","Coefficient","Average level","T_statistic","P_value","Adjusted p_value","Associated proportions","Gene_ID","Description","sig","negLogPval"
"HGD",35.5,-1.03,8.64,1.39e-14,8.53e-11,"None","3081","homogentisate 1,2-dioxygenase","up",13.8569851997459
"PPY",73.1,-1.6,7,1.08e-10,3.32e-07,"None","5539","pancreatic polypeptide","up",9.96657624451305
"TMEM65",-16.4,1.85,-6.54,1.16e-09,2.37e-06,"--","157378","transmembrane protein 65","down",8.93554201077308
"CASR",-22.7,1.25,-6.4,2.39e-09,3.11e-06,"Endocrine","846","calcium sensing receptor","down",8.62160209905186
"CRELD1",-17.7,-0.0871,-6.39,2.53e-09,3.11e-06,"None","78987","cysteine rich with EGF like domains 1","down",8.59687947882418
"MRPL13",-11,0.392,-6.34,3.22e-09,3.29e-06,"--","28998","mitochondrial ribosomal protein L13","down",8.49214412830417
"ABCC8",-26.1,1.6,-6.24,5.3e-09,4.64e-06,"Endocrine","6833","ATP binding cassette subfamily C member 8","down",8.27572413039921
"CTRB2",81.2,2.77,6.14,8.83e-09,6.77e-06,"Non-endocrine","440387","chymotrypsinogen B2","up",8.05403929642243
"LNPK",-11.3,1.69,-6.08,1.18e-08,7.37e-06,"--","80856","lunapark, ER junction formation factor","down",7.92811799269387
"LAMP1",-16.7,4.67,-6.07,1.2e-08,7.37e-06,"--","3916","lysosomal associated membrane protein 1","down",7.92081875395237
"MAN1C1",-22.9,0.00766,-6.03,1.5e-08,7.88e-06,"None","57134","mannosidase alpha class 1C member 1","down",7.82390874094432
"CGN",21.6,0.511,6.02,1.54e-08,7.88e-06,"None","57530","cingulin","up",7.81247927916354
"AKR1C3",50.6,3.5,5.99,1.78e-08,8.41e-06,"Non-endocrine","8644","aldo-keto reductase family 1 member C3","up",7.74957999769111
"CYP2U1",-23.4,-0.166,-5.96,2.06e-08,9.02e-06,"Endocrine","113612","cytochrome P450 family 2 subfamily U member 1","down",7.68613277963085
"SLC4A10",-22.4,-1.01,-5.93,2.36e-08,9.66e-06,"None","57282","solute carrier family 4 member 10","down",7.62708799702989
"CDS2",-15.7,1.1,-5.89,2.99e-08,1.15e-05,"None","8760","CDP-diacylglycerol synthase 2","down",7.52432881167557
"DUT",-11,1.52,-5.84,3.64e-08,1.31e-05,"None","1854","deoxyuridine triphosphatase","down",7.43889861635094
"GMDS",15.1,1.58,5.78,4.85e-08,1.65e-05,"Non-endocrine","2762","GDP-mannose 4,6-dehydratase","up",7.31425826139774
"PCYOX1L",-12.7,1.11,-5.77,5.25e-08,1.68e-05,"None","78991","prenylcysteine oxidase 1 like","down",7.27984069659404
"APOO",-11.2,2,-5.75,5.73e-08,1.68e-05,"None","79135","apolipoprotein O","down",7.24184537803261
"PDIA2",71.6,3.06,5.75,5.74e-08,1.68e-05,"Non-endocrine","64714","protein disulfide isomerase family A member 2","up",7.24108810760203
"SYT13",-22.3,-0.565,-5.74,6.11e-08,1.7e-05,"Endocrine","57586","synaptotagmin 13","down",7.21395878975745
"TUSC3",-15.1,1.11,-5.72,6.7e-08,1.76e-05,"None","7991","tumor suppressor candidate 3","down",7.17392519729917
"SFXN1",-11.4,3.8,-5.7,7.14e-08,1.76e-05,"--","94081","sideroflexin 1","down",7.14630178822383
"CUZD1",84,0.58,5.7,7.18e-08,1.76e-05,"Non-endocrine","50624","CUB and zona pellucida like domains 1","up",7.1438755557577
"PRSS2",72.2,5.01,5.69,7.66e-08,1.81e-05,"Non-endocrine","5645","serine protease 2","up",7.1157712303674
"DIABLO",-13,2.96,-5.63,1.01e-07,2.18e-05,"None","56616","diablo IAP-binding mitochondrial protein","down",6.99567862621736
"SSBP1",-10.9,4.37,-5.63,1.02e-07,2.18e-05,"--","6742","single stranded DNA binding protein 1","down",6.99139982823808
"ELAVL4",-16.5,0.797,-5.62,1.03e-07,2.18e-05,"None","1996","ELAV like RNA binding protein 4","down",6.98716277529483
"ISCA1",-15.5,0.919,-5.62,1.07e-07,2.18e-05,"--","81689","iron-sulfur cluster assembly 1","down",6.97061622231479
"IQGAP2",39.8,1.06,5.6,1.17e-07,2.27e-05,"Non-endocrine","10788","IQ motif containing GTPase activating protein 2","up",6.93181413825384
"TMEM63C",-19.9,1.47,-5.59,1.22e-07,2.27e-05,"None","57156","transmembrane protein 63C","down",6.91364016932525
"REG1A",63.3,0.939,5.59,1.22e-07,2.27e-05,"Non-endocrine","5967","regenerating family member 1 alpha","up",6.91364016932525
"MRPS21",-10.9,0.182,-5.58,1.28e-07,2.31e-05,"--","54460","mitochondrial ribosomal protein S21","down",6.89279003035213
"MRPL54",-16,0.835,-5.57,1.33e-07,2.32e-05,"None","116541","mitochondrial ribosomal protein L54","down",6.87614835903291
"SLC17A5",-19.7,-0.291,-5.57,1.36e-07,2.32e-05,"--","26503","solute carrier family 17 member 5","down",6.86646109162978
"NDUFB1",-26.9,0.901,-5.54,1.51e-07,2.5e-05,"None","4707","NADH:ubiquinone oxidoreductase subunit B1","down",6.82102305270683
"STX8",-10.5,-0.0573,-5.52,1.7e-07,2.75e-05,"None","9482","syntaxin 8","down",6.76955107862173
"SLIRP",-19.9,2.26,-5.51,1.79e-07,2.75e-05,"None","81892","SRA stem-loop interacting RNA binding protein","down",6.74714696902011
"HADH",-26.2,6.24,-5.51,1.8e-07,2.75e-05,"Endocrine","3033","hydroxyacyl-CoA dehydrogenase","down",6.74472749489669
"SLC25A53",-17.1,-0.176,-5.5,1.87e-07,2.8e-05,"None","401612","solute carrier family 25 member 53","down",6.7281583934635
"AKR7A3",59.7,0.853,5.49,1.97e-07,2.84e-05,"Non-endocrine","22977","aldo-keto reductase family 7 member A3","up",6.70553377383841
"SMIM4",-11.9,-0.59,-5.48,1.99e-07,2.84e-05,"None","440957","small integral membrane protein 4","down",6.70114692359029
"CTH",38.4,-0.508,5.47,2.09e-07,2.88e-05,"None","1491","cystathionine gamma-lyase","up",6.67985371388895
"ATP6V1G1",-17.7,3.13,-5.47,2.16e-07,2.88e-05,"None","9550","ATPase H+ transporting V1 subunit G1","down",6.66554624884907
"BRAT1",12.5,-1.63,5.46,2.2e-07,2.88e-05,"--","221927","BRCA1 associated ATM activator 1","up",6.65757731917779
"SPRYD4",-11.2,1.97,-5.46,2.2e-07,2.88e-05,"None","283377","SPRY domain containing 4","down",6.65757731917779
"MAP1LC3B2",-14.8,3.31,-5.45,2.37e-07,3.02e-05,"None","643246","microtubule associated protein 1 light chain 3 beta 2","down",6.6252516539899
"GDAP1",-17,1.65,-5.44,2.43e-07,3.02e-05,"Endocrine","54332","ganglioside induced differentiation associated protein 1","down",6.61439372640169
"CPA2",69.7,2.57,5.44,2.48e-07,3.02e-05,"Non-endocrine","1358","carboxypeptidase A2","up",6.60554831917378
"HSPA13",-12.5,1.47,-5.43,2.51e-07,3.02e-05,"None","6782","heat shock protein family A (Hsp70) member 13","down",6.60032627851896
"CLCN6",-16.9,-1.51,-5.4,2.96e-07,3.43e-05,"Endocrine","1185","chloride voltage-gated channel 6","down",6.52870828894106
"NIBAN1",36.4,0.319,5.4,2.98e-07,3.43e-05,"Non-endocrine","116496","niban apoptosis regulator 1","up",6.52578373592374
"MRPS15",-9.79,0.883,-5.39,3.02e-07,3.43e-05,"None","64960","mitochondrial ribosomal protein S15","down",6.51999305704285
"NDUFV3",-20.8,-0.362,-5.39,3.07e-07,3.43e-05,"--","4731","NADH:ubiquinone oxidoreductase subunit V3","down",6.51286162452281
"REG1B",69.4,4.48,5.37,3.39e-07,3.72e-05,"Non-endocrine","5968","regenerating family member 1 beta","up",6.46980030179692
"TMLHE",-12.9,0.306,-5.36,3.47e-07,3.73e-05,"None","55217","trimethyllysine hydroxylase, epsilon","down",6.45967052520913
"CPB1",68.2,5.02,5.35,3.67e-07,3.73e-05,"Non-endocrine","1360","carboxypeptidase B1","up",6.43533393574791
"ACYP2",-18.8,-0.0373,-5.35,3.72e-07,3.73e-05,"None","98","acylphosphatase 2","down",6.4294570601181
"NDUFAF2",-11.5,0.581,-5.34,3.79e-07,3.73e-05,"None","91942","NADH:ubiquinone oxidoreductase complex assembly factor 2","down",6.42136079003193
"CLMN",17.6,-0.0841,5.34,3.81e-07,3.73e-05,"Non-endocrine","79789","calmin","up",6.41907502432438
"ARRB1",18.8,0.331,5.34,3.86e-07,3.73e-05,"Non-endocrine","408","arrestin beta 1","up",6.41341269532824
"MRPL49",-12.4,-0.343,-5.34,3.88e-07,3.73e-05,"--","740","mitochondrial ribosomal protein L49","down",6.41116827440579
"MRPS33",-14.2,-0.0278,-5.34,3.89e-07,3.73e-05,"--","51650","mitochondrial ribosomal protein S33","down",6.41005039867429
"LETMD1",-12.6,1.15,-5.31,4.46e-07,4.15e-05,"--","25875","LETM1 domain containing 1","down",6.35066514128786
"GGT1",41.5,0.382,5.31,4.46e-07,4.15e-05,"Non-endocrine","2678","gamma-glutamyltransferase 1","up",6.35066514128786
"XPNPEP1",17.1,2.13,5.3,4.7e-07,4.25e-05,"None","7511","X-prolyl aminopeptidase 1","up",6.32790214206428
"SLC25A46",-12.6,0.233,-5.29,4.71e-07,4.25e-05,"--","91137","solute carrier family 25 member 46","down",6.3269790928711
"HACD3",-10.7,2.62,-5.29,4.87e-07,4.31e-05,"--","51495","3-hydroxyacyl-CoA dehydratase 3","down",6.31247103878537
"DPYD",19.9,-1.9,5.29,4.91e-07,4.31e-05,"None","1806","dihydropyrimidine dehydrogenase","up",6.30891850787703
"STX1A",-19,2.23,-5.28,5.05e-07,4.37e-05,"None","6804","syntaxin 1A","down",6.29670862188134
"FMC1-LUC7L2",-13.7,1.51,-5.27,5.29e-07,4.46e-05,"--","100996928","FMC1-LUC7L2 readthrough","down",6.27654432796481
"RAB2A",-9.67,3.95,-5.27,5.34e-07,4.46e-05,"--","5862","RAB2A, member RAS oncogene family","down",6.27245874297144
"HMGCS1",27.5,0.0855,5.27,5.37e-07,4.46e-05,"None","3157","3-hydroxy-3-methylglutaryl-CoA synthase 1","up",6.27002571430044
"CHGA",-27.8,2.96,-5.25,5.65e-07,4.55e-05,"None","1113","chromogranin A","down",6.24795155218056
"CACNA2D2",-20.4,1.19,-5.25,5.7e-07,4.55e-05,"None","9254","calcium voltage-gated channel auxiliary subunit alpha2delta 2","down",6.24412514432751
"NENF",-18.2,2.54,-5.25,5.75e-07,4.55e-05,"None","29937","neudesin neurotrophic factor","down",6.24033215531037
"PVR",-11,0.441,-5.25,5.78e-07,4.55e-05,"None","5817","PVR cell adhesion molecule","down",6.23807216157947
"MAT2A",11.8,1.99,5.23,6.24e-07,4.85e-05,"None","4144","methionine adenosyltransferase 2A","up",6.20481541031758
"PEX11B",-12.4,0.992,-5.22,6.55e-07,5.02e-05,"None","8799","peroxisomal biogenesis factor 11 beta","down",6.18375870000822
"ATP6AP1",-13.4,2.91,-5.22,6.72e-07,5.05e-05,"None","537","ATPase H+ transporting accessory protein 1","down",6.17263072694618
"ABCB6",-13.5,0.414,-5.22,6.74e-07,5.05e-05,"None","10058","ATP binding cassette subfamily B member 6 (Langereis blood group)","down",6.17134010346468
"MRPS18A",-14.6,0.976,-5.21,6.89e-07,5.09e-05,"--","55168","mitochondrial ribosomal protein S18A","down",6.16178077809237
"HELZ2",23.4,-2.51,5.21,6.97e-07,5.09e-05,"None","85441","helicase with zinc finger 2","up",6.15676722190199
"NAA16",11.4,0.0376,5.21,7.05e-07,5.09e-05,"None","79612","N-alpha-acetyltransferase 16, NatA auxiliary subunit","up",6.1518108830086
"TMED4",-10.3,4.52,-5.2,7.21e-07,5.15e-05,"--","222068","transmembrane p24 trafficking protein 4","down",6.14206473528057
"NIPSNAP3A",-12.7,2.6,-5.19,7.73e-07,5.45e-05,"None","25934","nipsnap homolog 3A","down",6.11182050608168
"CPA1",74.2,4.63,5.18,7.82e-07,5.45e-05,"Non-endocrine","1357","carboxypeptidase A1","up",6.10679324694015
"GNMT",61.4,0.584,5.17,8.11e-07,5.59e-05,"Non-endocrine","27232","glycine N-methyltransferase","up",6.09097914578884
