"Feature","Coefficient","Average level","T_statistic","P_value","Adjusted p_value","Associated proportions","Gene_ID","Description","sig","negLogPval"
"DPP4",14,4.98,6.97,4.41e-10,4.18e-06,"None","1803","dipeptidyl peptidase 4","up",9.35556141053216
"F10",12.2,6.79,6.91,5.85e-10,4.18e-06,"None","2159","coagulation factor X","up",9.23284413391782
"GCG",14.7,14.3,6.44,5.28e-09,2.52e-05,"None","2641","glucagon","up",8.27736607746619
"LAT2",9.87,3.37,6.19,1.59e-08,5.18e-05,"None","7462","linker for activation of T cells family member 2","up",7.79860287567955
"STK32B",13.5,4.18,6.16,1.81e-08,5.18e-05,"None","55351","serine/threonine kinase 32B","up",7.74232142513082
"USH1C",9.22,5.69,6.05,3.02e-08,7.2e-05,"None","10083","USH1 protein network component harmonin","up",7.51999305704285
"GLT1D1",12.1,2.73,5.92,5.28e-08,0.000108,"None","144423","glycosyltransferase 1 domain containing 1","up",7.27736607746619
"MYO10",8.32,6.46,5.72,1.3e-07,0.000218,"Non-endocrine","4651","myosin X","up",6.88605664769316
"BTBD11",12.1,3.94,5.68,1.5e-07,0.000218,"None","121551","BTB domain containing 11","up",6.82390874094432
"HADH",-10.8,8.1,-5.66,1.64e-07,0.000218,"Endocrine","3033","hydroxyacyl-CoA dehydrogenase","down",6.7851561519523
"PLIN3",8.02,5.58,5.66,1.67e-07,0.000218,"None","10226","perilipin 3","up",6.77728352885242
"CADM4",7.53,4.4,5.62,1.99e-07,0.000237,"Non-endocrine","199731","cell adhesion molecule 4","up",6.70114692359029
"ZFR2",11.3,2.16,5.6,2.15e-07,0.000237,"None","23217","zinc finger RNA binding protein 2","up",6.6675615400844
"GCNT2",9.94,2.75,5.48,3.62e-07,0.00036,"None","2651","glucosaminyl (N-acetyl) transferase 2 (I blood group)","up",6.44129142946683
"MAFA",-14.2,6.84,-5.47,3.77e-07,0.00036,"Endocrine","389692","MAF bZIP transcription factor A","down",6.42365864979421
"POPDC3",13.4,2.83,5.35,6.25e-07,0.000559,"None","64208","popeye domain containing 3","up",6.20411998265593
"GLP1R",-10.8,5.87,-5.29,7.99e-07,0.000638,"None","2740","glucagon like peptide 1 receptor","down",6.09745322068601
"FAP",13.2,5.89,5.29,8.03e-07,0.000638,"None","2191","fibroblast activation protein alpha","up",6.09528445472132
"SYT13",-9.95,8.57,-5.27,8.67e-07,0.000653,"Endocrine","57586","synaptotagmin 13","down",6.06198090252379
"SCD5",-9.92,7.66,-5.24,1.01e-06,0.000697,"Endocrine","79966","stearoyl-CoA desaturase 5","down",5.99567862621736
"BVES",13.4,1.9,5.23,1.02e-06,0.000697,"None","11149","blood vessel epicardial substance","up",5.99139982823808
"GC",11.3,9.33,5.2,1.17e-06,0.000726,"None","2638","GC vitamin D binding protein","up",5.93181413825384
"HHATL",-16.9,3.68,-5.2,1.17e-06,0.000726,"None","57467","hedgehog acyltransferase like","down",5.93181413825384
"MSANTD1",11.2,2.6,5.13,1.55e-06,0.000922,"None","345222","Myb/SANT DNA binding domain containing 1","up",5.80966830182971
"LIMA1",5.93,5.59,5.12,1.62e-06,0.000925,"None","51474","LIM domain and actin binding 1","up",5.79048498545737
"TSHZ3",-7.42,3.54,-5.11,1.75e-06,0.000961,"None","57616","teashirt zinc finger homeobox 3","down",5.75696195131371
"C5orf38",10.1,4.01,5.08,1.92e-06,0.001,"None","153571","chromosome 5 open reading frame 38","up",5.71669877129645
"SLC6A17",-9.58,6.49,-5.07,2.05e-06,0.001,"Endocrine","388662","solute carrier family 6 member 17","down",5.68824613894425
"MYRF",7.68,6.01,5.06,2.09e-06,0.001,"None","745","myelin regulatory factor","up",5.67985371388895
"FAM83F",5.91,5.19,5.06,2.12e-06,0.001,"None","113828","family with sequence similarity 83 member F","up",5.67366413907125
"CDH22",-10.7,6.15,-5.05,2.17e-06,0.001,"Endocrine","64405","cadherin 22","down",5.66354026615147
"RXRG",-11.6,5.47,-5.04,2.24e-06,0.001,"None","6258","retinoid X receptor gamma","down",5.64975198166584
"ENTPD3",-9.88,6.93,-5.04,2.32e-06,0.001,"None","956","ectonucleoside triphosphate diphosphohydrolase 3","down",5.6345120151091
"NHS",13.3,2.44,5.01,2.59e-06,0.00109,"None","4810","NHS actin remodeling regulator","up",5.58670023591875
"KCNIP1",10.3,3.67,5,2.74e-06,0.00112,"None","30820","potassium voltage-gated channel interacting protein 1","up",5.56224943717961
"FXYD5",10.3,5.8,4.97,3.08e-06,0.00123,"None","53827","FXYD domain containing ion transport regulator 5","up",5.51144928349956
"TCN2",7.29,4.08,4.96,3.21e-06,0.00123,"None","6948","transcobalamin 2","up",5.49349496759513
"ADGRG2",12,4.29,4.95,3.26e-06,0.00123,"None","10149","adhesion G protein-coupled receptor G2","up",5.48678239993206
"GCGR",-12.1,4.24,-4.91,3.89e-06,0.00143,"None","2642","glucagon receptor","down",5.41005039867429
"SAMD11",-10.2,5.3,-4.84,5.21e-06,0.00182,"Endocrine","148398","sterile alpha motif domain containing 11","down",5.28316227670048
"IL10RA",10.6,4.16,4.83,5.29e-06,0.00182,"None","3587","interleukin 10 receptor subunit alpha","up",5.27654432796481
"VSTM2L",9.49,4.73,4.82,5.49e-06,0.00182,"None","128434","V-set and transmembrane domain containing 2 like","up",5.26042765554991
"ADGRA1",-11.7,2.27,-4.82,5.56e-06,0.00182,"Endocrine","84435","adhesion G protein-coupled receptor A1","down",5.25492520841794
"TMEM108",-9.37,2.87,-4.82,5.59e-06,0.00182,"Endocrine","66000","transmembrane protein 108","down",5.25258819211358
"SEC14L6",8.75,2.85,4.81,5.91e-06,0.00188,"None","730005","SEC14 like lipid binding 6","up",5.22841251911874
"PAPPA2",13.3,6.06,4.77,6.71e-06,0.00205,"None","60676","pappalysin 2","up",5.17327747983101
"APOH",10.8,6.41,4.77,6.74e-06,0.00205,"None","350","apolipoprotein H","up",5.17134010346468
"CTNNA2",-9.7,4.31,-4.76,7.22e-06,0.0021,"None","1496","catenin alpha 2","down",5.14146280243036
"BAIAP2L2",11.8,3.52,4.75,7.31e-06,0.0021,"None","80115","BAR/IMD domain containing adaptor protein 2 like 2","up",5.13608262304214
"CLDN11",13.8,-0.613,4.75,7.34e-06,0.0021,"None","5010","claudin 11","up",5.13430394008393
"CYP27A1",-6.42,4.51,-4.73,7.99e-06,0.00224,"None","1593","cytochrome P450 family 27 subfamily A member 1","down",5.09745322068601
"GRIN2D",-14.5,1.01,-4.71,8.54e-06,0.00234,"Endocrine","2906","glutamate ionotropic receptor NMDA type subunit 2D","down",5.06854212931099
"NRSN1",-11.3,1.82,-4.71,8.68e-06,0.00234,"None","140767","neurensin 1","down",5.06148027482351
"PTPRT",12.8,3.88,4.7,9.14e-06,0.00242,"None","11122","protein tyrosine phosphatase receptor type T","up",5.03905380426617
"AMPH",-8.87,4.82,-4.69,9.34e-06,0.00243,"None","273","amphiphysin","down",5.02965312376991
"SHISAL2B",-12.8,6.05,-4.64,1.16e-05,0.00295,"None","100132916","shisa like 2B","down",4.93554201077308
"ZNF385D",-9.73,4.16,-4.61,1.26e-05,0.00317,"Endocrine","79750","zinc finger protein 385D","down",4.89962945488244
"IGFBPL1",10.1,3,4.59,1.37e-05,0.00333,"None","347252","insulin like growth factor binding protein like 1","up",4.86327943284359
"KCNH6",8.73,5.54,4.59,1.39e-05,0.00333,"None","81033","potassium voltage-gated channel subfamily H member 6","up",4.85698519974591
"S1PR2",6.99,2.84,4.59,1.4e-05,0.00333,"Non-endocrine","9294","sphingosine-1-phosphate receptor 2","up",4.85387196432176
"PYROXD2",10.9,2.67,4.58,1.46e-05,0.00343,"None","84795","pyridine nucleotide-disulphide oxidoreductase domain 2","up",4.83564714421556
"FAM189A1",8.2,3.36,4.56,1.54e-05,0.00355,"None","23359","family with sequence similarity 189 member A1","up",4.81247927916354
"CSGALNACT1",10.4,4.81,4.54,1.67e-05,0.00379,"None","55790","chondroitin sulfate N-acetylgalactosaminyltransferase 1","up",4.77728352885242
"CABLES1",-7.18,3.42,-4.54,1.7e-05,0.00379,"None","91768","Cdk5 and Abl enzyme substrate 1","down",4.76955107862173
"SALL4",8.69,2.5,4.53,1.74e-05,0.00382,"None","57167","spalt like transcription factor 4","up",4.7594507517174
"FFAR4",-14.3,3.13,-4.52,1.83e-05,0.00385,"Endocrine","338557","free fatty acid receptor 4","down",4.73754891026957
"TGFBR3",-6.9,6.91,-4.52,1.85e-05,0.00385,"Endocrine","7049","transforming growth factor beta receptor 3","down",4.73282827159699
"RBP4",-12.6,8.15,-4.51,1.87e-05,0.00385,"Endocrine","5950","retinol binding protein 4","down",4.7281583934635
"KLHDC8A",-10.3,4.35,-4.51,1.89e-05,0.00385,"None","55220","kelch domain containing 8A","down",4.72353819582676
"FSTL5",12.5,4.2,4.51,1.89e-05,0.00385,"None","56884","follistatin like 5","up",4.72353819582676
"FEV",10.7,4.52,4.51,1.91e-05,0.00385,"None","54738","FEV transcription factor, ETS family member","up",4.71896663275227
"PCSK1",-9.91,8.93,-4.5,1.99e-05,0.00395,"None","5122","proprotein convertase subtilisin/kexin type 1","down",4.70114692359029
"UPB1",8.74,2.32,4.49,2.06e-05,0.00403,"None","51733","beta-ureidopropionase 1","up",4.68613277963085
"POTEJ",14.5,-0.614,4.49,2.08e-05,0.00403,"None","653781","POTE ankyrin domain family member J","up",4.68193666503724
"ANKRD6",-6.1,4.41,-4.48,2.13e-05,0.00407,"Endocrine","22881","ankyrin repeat domain 6","down",4.67162039656126
"PRKAR2B",-5.99,4.67,-4.47,2.23e-05,0.00419,"None","5577","protein kinase cAMP-dependent type II regulatory subunit beta","down",4.65169513695184
"ADRB1",9.33,1.41,4.45,2.42e-05,0.00449,"None","153","adrenoceptor beta 1","up",4.61618463401957
"INS",-11.1,14.6,-4.44,2.46e-05,0.00451,"None","3630","insulin","down",4.60906489289662
"SSX2IP",6.5,6.11,4.43,2.59e-05,0.00469,"None","117178","SSX family member 2 interacting protein","up",4.58670023591875
"KIAA1549L",11.2,3.41,4.41,2.74e-05,0.0049,"None","25758","KIAA1549 like","up",4.56224943717961
"CAPN13",-11.4,5.8,-4.41,2.79e-05,0.00493,"None","92291","calpain 13","down",4.5543957967264
"INSYN1",-10,5.05,-4.39,3.02e-05,0.00527,"Endocrine","388135","inhibitory synaptic factor 1","down",4.51999305704285
"SPOCK3",11.1,3.7,4.38,3.12e-05,0.00538,"None","50859","SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3","up",4.50584540598156
"GOLPH3L",-5.47,5.03,-4.36,3.32e-05,0.00545,"None","55204","golgi phosphoprotein 3 like","down",4.47886191629596
"TTR",8.62,13.1,4.36,3.32e-05,0.00545,"None","7276","transthyretin","up",4.47886191629596
"C1QL1",-11.2,6.7,-4.36,3.34e-05,0.00545,"None","10882","complement C1q like 1","down",4.47625353318844
"INPP5F",-6.86,6.42,-4.36,3.35e-05,0.00545,"None","22876","inositol polyphosphate-5-phosphatase F","down",4.47495519296315
"TCHH",-10.7,2.01,-4.35,3.43e-05,0.00545,"Endocrine","7062","trichohyalin","down",4.46470587995723
"OLFM2",-7.46,5.8,-4.35,3.47e-05,0.00545,"Endocrine","93145","olfactomedin 2","down",4.45967052520913
"SQOR",7.81,4.09,4.35,3.48e-05,0.00545,"Non-endocrine","58472","sulfide quinone oxidoreductase","up",4.45842075605342
"LBH",7.23,5.17,4.35,3.51e-05,0.00545,"None","81606","LBH regulator of WNT signaling pathway","up",4.45469288353418
"NPTX2",-8.67,7.37,-4.35,3.53e-05,0.00545,"None","4885","neuronal pentraxin 2","down",4.45222529461218
