"Feature","Coefficient","Average level","T_statistic","P_value","Adjusted p_value","Associated proportions","Gene_ID","Description","sig","negLogPval"
"F10",-12.9,6.79,-7.84,7.43e-12,1.06e-07,"None","2159","coagulation factor X","down",11.1290111862394
"HHATL",21.2,3.68,7.34,8.07e-11,5.78e-07,"None","57467","hedgehog acyltransferase like","up",10.0931264652779
"HADH",12.3,8.1,7,3.9e-10,1.68e-06,"Endocrine","3033","hydroxyacyl-CoA dehydrogenase","up",9.4089353929735
"MAFA",16.5,6.84,6.96,4.77e-10,1.68e-06,"Endocrine","389692","MAF bZIP transcription factor A","up",9.32148162095989
"GLT1D1",-13.2,2.73,-6.87,7.04e-10,1.68e-06,"None","144423","glycosyltransferase 1 domain containing 1","down",9.15242734085789
"LAT2",-10.4,3.37,-6.87,7.05e-10,1.68e-06,"None","7462","linker for activation of T cells family member 2","down",9.1518108830086
"BTBD11",-13.2,3.94,-6.65,1.98e-09,4.05e-06,"None","121551","BTB domain containing 11","down",8.70333480973847
"USH1C",-9.53,5.69,-6.53,3.46e-09,6.18e-06,"None","10083","USH1 protein network component harmonin","down",8.46092390120722
"GLP1R",12.2,5.87,6.46,4.66e-09,7.41e-06,"None","2740","glucagon like peptide 1 receptor","up",8.33161408331
"SCD5",11.3,7.66,6.43,5.52e-09,7.89e-06,"Endocrine","79966","stearoyl-CoA desaturase 5","up",8.2580609222708
"CAPN13",14.8,5.8,6.36,7.37e-09,9.59e-06,"None","92291","calpain 13","up",8.13253251214095
"GCG",-14.2,14.3,-6.34,8.14e-09,9.71e-06,"None","2641","glucagon","down",8.0893755951108
"SYT13",11.1,8.57,6.3,9.67e-09,1.01e-05,"Endocrine","57586","synaptotagmin 13","up",8.014573525917
"CDH22",12.4,6.15,6.3,9.88e-09,1.01e-05,"Endocrine","64405","cadherin 22","up",8.00524305541237
"FXYD5",-12,5.8,-6.25,1.23e-08,1.11e-05,"None","53827","FXYD domain containing ion transport regulator 5","down",7.9100948885606
"GCNT2",-10.7,2.75,-6.24,1.29e-08,1.11e-05,"None","2651","glucosaminyl (N-acetyl) transferase 2 (I blood group)","down",7.88941028970075
