"Feature","Coefficient","Average level","T_statistic","P_value","Adjusted p_value","Associated proportions","Gene_ID","Description","sig","negLogPval"
"F5",48.8,3.4,4.71,8.63e-06,0.0502,"None","2153","coagulation factor V","NS",5.06398920428479
"LRFN5",38.1,1.84,4.68,9.81e-06,0.0502,"None","145581","leucine rich repeat and fibronectin type III domain containing 5","NS",5.00833099262005
"SST",38.7,11.4,4.63,1.16e-05,0.0502,"Endocrine","6750","somatostatin","NS",4.93554201077308
"GHRL",64.8,4.66,4.59,1.4e-05,0.0502,"None","51738","ghrelin and obestatin prepropeptide","NS",4.85387196432176
"COL22A1",43.5,1.17,4.44,2.44e-05,0.0697,"None","169044","collagen type XXII alpha 1 chain","NS",4.61261017366127
"TSHR",49.2,0.349,4.26,5.02e-05,0.12,"None","7253","thyroid stimulating hormone receptor","NS",4.29929628285498
"RIPOR2",37.2,1.12,3.92,0.000166,0.34,"None","9750","RHO family interacting cell polarization regulator 2","NS",3.77989191195995
"GREB1L",37.1,-0.254,3.87,0.000202,0.362,"None","80000","GREB1 like retinoic acid receptor coactivator","NS",3.69464863055338
"FREM1",-45,1.78,-3.83,0.000235,0.374,"Non-endocrine","158326","FRAS1 related extracellular matrix 1","NS",3.62893213772826
"KIF6",-28.8,0.653,-3.76,0.000301,0.431,"None","221458","kinesin family member 6","NS",3.52143350440616
"CA5B",16.6,3.41,3.7,0.000363,0.466,"None","11238","carbonic anhydrase 5B","NS",3.44009337496389
"SYT1",39.4,2.19,3.66,0.000417,0.466,"None","6857","synaptotagmin 1","NS",3.37986394502624
"CASP3",21.4,4.79,3.65,0.00043,0.466,"None","836","caspase 3","NS",3.36653154442041
"CNGA3",26.4,3.98,3.63,0.000457,0.466,"Endocrine","1261","cyclic nucleotide gated channel subunit alpha 3","NS",3.34008379993015
"CCNE1",27,0.773,3.61,0.000489,0.466,"None","898","cyclin E1","NS",3.31069114087638
"RPA4",43.4,-1.64,3.62,0.000531,0.475,"None","29935","replication protein A4","NS",3.27490547891853
"THRA",15.1,6.9,3.55,0.000613,0.479,"None","7067","thyroid hormone receptor alpha","NS",3.21253952548158
"SETSIP",38,-2.05,3.61,0.000638,0.479,"None","646817","SET like protein","NS",3.19517932127884
"LEPR",29,4.09,3.52,0.000665,0.479,"Endocrine","3953","leptin receptor","NS",3.1771783546969
"MPP7",-17.3,4.48,-3.52,0.000674,0.479,"None","143098","membrane palmitoylated protein 7","NS",3.17134010346468
"PLA2R1",-26.8,0.818,-3.5,0.000705,0.479,"None","22925","phospholipase A2 receptor 1","NS",3.1518108830086
"DUSP9",35.6,-1.98,3.54,0.00076,0.479,"None","1852","dual specificity phosphatase 9","NS",3.11918640771921
"L3MBTL4",-18.1,2.44,-3.46,0.000817,0.479,"None","91133","L3MBTL histone methyl-lysine binding protein 4","NS",3.08777794346758
"COLCA1",-26.9,2.42,-3.45,0.000854,0.479,"None","399948","colorectal cancer associated 1","NS",3.068542129311
"VEPH1",-44.5,2.02,-3.44,0.000864,0.479,"Non-endocrine","79674","ventricular zone expressed PH domain containing 1","NS",3.06348625752111
"SH2D5",49.6,-0.241,3.45,0.00087,0.479,"None","400745","SH2 domain containing 5","NS",3.06048074738138
"TMEM151B",32.8,2.23,3.41,0.000971,0.508,"Endocrine","441151","transmembrane protein 151B","NS",3.012780770092
"METTL24",-24.4,0.142,-3.38,0.00105,0.508,"None","728464","methyltransferase like 24","NS",2.97881070093006
"DDO",-24,0.75,-3.36,0.00113,0.508,"None","8528","D-aspartate oxidase","NS",2.94692155651658
"BRINP3",30.7,-1.5,3.38,0.00114,0.508,"None","339479","BMP/retinoic acid inducible neural specific 3","NS",2.94309514866353
"B3GALNT1",-16,3.9,-3.36,0.00114,0.508,"None","8706","beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)","NS",2.94309514866353
"PIK3R6",-33.6,-2.06,-3.38,0.00118,0.508,"Non-endocrine","146850","phosphoinositide-3-kinase regulatory subunit 6","NS",2.92811799269387
"ETNK2",16,5.66,3.35,0.00119,0.508,"None","55224","ethanolamine kinase 2","NS",2.92445303860747
"CLEC19A",31.2,-2.49,3.42,0.00121,0.508,"None","728276","C-type lectin domain containing 19A","NS",2.91721462968355
"RNF225",31.6,-2.07,3.37,0.00129,0.529,"None","646862","ring finger protein 225","NS",2.88941028970075
"H4C12",28.9,-2.17,3.34,0.00139,0.54,"None","8362","H4 clustered histone 12","NS",2.85698519974591
"CYP21A2",39.2,-1.71,3.32,0.0014,0.54,"None","1589","cytochrome P450 family 21 subfamily A member 2","NS",2.85387196432176
"LOXL4",-46.4,5.32,-3.28,0.00147,0.54,"None","84171","lysyl oxidase like 4","NS",2.83268266525182
"RHBDL3",30.5,0.046,3.28,0.00148,0.54,"None","162494","rhomboid like 3","NS",2.82973828460504
"NAT8B",-27.3,-2.42,-3.34,0.00153,0.54,"None","51471","N-acetyltransferase 8B (putative, gene/pseudogene)","NS",2.8153085691824
"MPO",27.9,-1.51,3.27,0.00155,0.54,"None","4353","myeloperoxidase","NS",2.80966830182971
"ZPLD1",-29.9,0.575,-3.25,0.00163,0.55,"None","131368","zona pellucida like domain containing 1","NS",2.78781239559604
"CHRNA5",-24.2,2.21,-3.24,0.00168,0.55,"None","1138","cholinergic receptor nicotinic alpha 5 subunit","NS",2.77469071827414
"NPNT",-22.1,4.94,-3.23,0.00173,0.55,"Non-endocrine","255743","nephronectin","NS",2.7619538968712
"MYH3",22.6,1.82,3.23,0.00173,0.55,"None","4621","myosin heavy chain 3","NS",2.7619538968712
"MYO1A",34.2,-1.67,3.23,0.00177,0.55,"None","4640","myosin IA","NS",2.75202673363819
"INSM2",44.8,-1.17,3.22,0.00185,0.563,"None","84684","INSM transcriptional repressor 2","NS",2.73282827159699
"ALAD",-17.9,5.27,-3.2,0.0019,0.566,"None","210","aminolevulinate dehydratase","NS",2.72124639904717
"SOX11",49.4,-0.873,3.2,0.00199,0.57,"None","6664","SRY-box transcription factor 11","NS",2.70114692359029
"LLPH",15.3,3.74,3.18,0.00199,0.57,"None","84298","LLP homolog, long-term synaptic facilitation factor","NS",2.70114692359029
"RPRML",31.3,-2.43,3.23,0.00216,0.585,"None","388394","reprimo like","NS",2.66554624884907
"CCND1",-14.4,6.37,-3.14,0.00224,0.585,"None","595","cyclin D1","NS",2.64975198166584
"VWA3B",33.3,-0.949,3.15,0.00225,0.585,"None","200403","von Willebrand factor A domain containing 3B","NS",2.64781748188864
"PDGFD",-25.9,4.23,-3.14,0.0023,0.585,"None","80310","platelet derived growth factor D","NS",2.63827216398241
"NDRG4",23,7.07,3.13,0.00233,0.585,"Endocrine","65009","NDRG family member 4","NS",2.63264407897398
"C11orf45",-36.5,-0.663,-3.13,0.00237,0.585,"Non-endocrine","219833","chromosome 11 open reading frame 45","NS",2.6252516539899
"PYROXD2",-27.6,2.67,-3.12,0.00242,0.585,"None","84795","pyridine nucleotide-disulphide oxidoreductase domain 2","NS",2.61618463401957
"EID2B",19.7,3.14,3.11,0.00247,0.585,"None","126272","EP300 interacting inhibitor of differentiation 2B","NS",2.60730304674033
"SYNGR3",20.3,3.13,3.1,0.00253,0.585,"Endocrine","9143","synaptogyrin 3","NS",2.59687947882418
"KCNT2",26.3,2,3.1,0.00256,0.585,"Endocrine","343450","potassium sodium-activated channel subfamily T member 2","NS",2.59176003468815
"SLC5A8",34.6,-0.795,3.09,0.00267,0.585,"None","160728","solute carrier family 5 member 8","NS",2.57348873863542
"MYO1H",30.9,-1.91,3.1,0.00267,0.585,"None","283446","myosin IH","NS",2.57348873863542
"CNTD2",28.8,0.169,3.08,0.00272,0.585,"None","79935","cyclin N-terminal domain containing 2","NS",2.5654310959658
"CAP2",-21.1,2.49,-3.08,0.00274,0.585,"None","10486","cyclase associated actin cytoskeleton regulatory protein 2","NS",2.56224943717961
"GZMM",32.9,-1.18,3.08,0.0028,0.585,"None","3004","granzyme M","NS",2.55284196865778
"NKX1-1",48.4,-2.46,3.32,0.0028,0.585,"None","54729","NK1 homeobox 1","NS",2.55284196865778
"FAM177B",30.8,-0.535,3.07,0.00283,0.585,"None","400823","family with sequence similarity 177 member B","NS",2.54821356447571
"KTI12",18.2,2.7,3.06,0.00286,0.585,"None","112970","KTI12 chromatin associated homolog","NS",2.54363396687096
"CD9",18.1,6.28,3.06,0.00287,0.585,"None","928","CD9 molecule","NS",2.54211810326601
"GHSR",36.1,0.747,3.06,0.00289,0.585,"None","2693","growth hormone secretagogue receptor","NS",2.53910215724345
"ABCC4",-20.9,2.86,-3.05,0.00298,0.585,"None","10257","ATP binding cassette subfamily C member 4","NS",2.52578373592374
"HMSD",30.9,-2.03,3.07,0.00298,0.585,"None","284293","histocompatibility minor serpin domain containing","NS",2.52578373592374
"ZYG11A",25.9,-1.91,3.05,0.00302,0.585,"None","440590","zyg-11 family member A, cell cycle regulator","NS",2.51999305704285
"C17orf78",31.1,-2.45,3.09,0.00305,0.585,"None","284099","chromosome 17 open reading frame 78","NS",2.51570016065321
