"Feature","Coefficient","Average level","T_statistic","P_value","Adjusted p_value","Associated proportions","Gene_ID","Description","sig","negLogPval"
"ICA1L",-2.26,5.72,-5.61,2.05e-07,0.00195,"Endocrine","130026","islet cell autoantigen 1 like","down",6.68824613894425
"RBPMS",2.7,4.48,5.55,2.73e-07,0.00195,"Non-endocrine","11030","RNA binding protein, mRNA processing factor","up",6.56383735295924
"RBBP8NL",6.11,-1.35,5.51,4.48e-07,0.00214,"Non-endocrine","140893","RBBP8 N-terminal like","up",6.34872198600186
"SGSM2",-2.13,6.91,-5.33,6.96e-07,0.00234,"Endocrine","9905","small G protein signaling modulator 2","down",6.15739076038944
"STXBP5L",-3.12,4.91,-5.23,1.03e-06,0.00234,"Endocrine","9515","syntaxin binding protein 5 like","down",5.98716277529483
"KIF1C",2.66,6.07,5.17,1.33e-06,0.00234,"Non-endocrine","10749","kinesin family member 1C","up",5.87614835903291
"C2CD2",2.69,3.41,5.16,1.41e-06,0.00234,"Non-endocrine","25966","C2 calcium dependent domain containing 2","up",5.85078088734462
"RIMKLB",-2.17,5.52,-5.13,1.55e-06,0.00234,"Endocrine","57494","ribosomal modification protein rimK like family member B","down",5.80966830182971
"SVOP",-2.69,5.43,-5.1,1.81e-06,0.00234,"Endocrine","55530","SV2 related protein","down",5.74232142513082
"GDPD5",4.33,3.34,5.04,2.31e-06,0.00234,"Non-endocrine","81544","glycerophosphodiester phosphodiesterase domain containing 5","up",5.63638802010786
"PDK4",4.72,8.14,5.03,2.38e-06,0.00234,"Non-endocrine","5166","pyruvate dehydrogenase kinase 4","up",5.62342304294349
"GP2",8.53,12,5.02,2.49e-06,0.00234,"Non-endocrine","2813","glycoprotein 2","up",5.60380065290426
"CSRP2",3.85,2.61,5.02,2.51e-06,0.00234,"Non-endocrine","1466","cysteine and glycine rich protein 2","up",5.60032627851896
"BNIP3",3.78,7.29,4.99,2.76e-06,0.00234,"Non-endocrine","664","BCL2 interacting protein 3","up",5.55909091793478
"IDH2",3.55,5.63,4.97,2.99e-06,0.00234,"Non-endocrine","3418","isocitrate dehydrogenase (NADP(+)) 2","up",5.52432881167557
"PER3",-2.96,6.03,-4.97,2.99e-06,0.00234,"Endocrine","8863","period circadian regulator 3","down",5.52432881167557
"NTRK2",4.36,4.65,4.95,3.36e-06,0.00234,"Non-endocrine","4915","neurotrophic receptor tyrosine kinase 2","up",5.47366072261016
"PLTP",4.31,4.7,4.94,3.47e-06,0.00234,"Non-endocrine","5360","phospholipid transfer protein","up",5.45967052520913
"CHRD",4.25,2.28,4.94,3.5e-06,0.00234,"Non-endocrine","8646","chordin","up",5.45593195564972
"EGFR",3.43,4.21,4.92,3.69e-06,0.00234,"Non-endocrine","1956","epidermal growth factor receptor","up",5.43297363384094
"GDAP1",-1.97,6,-4.91,3.85e-06,0.00234,"Endocrine","54332","ganglioside induced differentiation associated protein 1","down",5.4145392704915
"PLCH2",-4.83,8.78,-4.91,3.89e-06,0.00234,"Endocrine","9651","phospholipase C eta 2","down",5.41005039867429
"CTSC",2.9,4.03,4.91,3.95e-06,0.00234,"Non-endocrine","1075","cathepsin C","up",5.40340290437354
"LPAR2",2.61,2.74,4.91,3.96e-06,0.00234,"Non-endocrine","9170","lysophosphatidic acid receptor 2","up",5.40230481407449
"PDGFA",2.59,4.73,4.88,4.34e-06,0.00234,"Non-endocrine","5154","platelet derived growth factor subunit A","up",5.36251027048749
"SCNN1G",5.49,0.213,4.88,4.57e-06,0.00234,"Non-endocrine","6340","sodium channel epithelial 1 subunit gamma","up",5.34008379993015
"PNLIPRP1",7.27,9.35,4.86,4.81e-06,0.00234,"Non-endocrine","5407","pancreatic lipase related protein 1","up",5.31785492362617
"SLC43A1",6.09,4.9,4.86,4.81e-06,0.00234,"Non-endocrine","8501","solute carrier family 43 member 1","up",5.31785492362617
"CCDC69",5.01,3.78,4.84,5.19e-06,0.00234,"Non-endocrine","26112","coiled-coil domain containing 69","up",5.28483264215154
"SLC25A15",4.9,2.38,4.83,5.27e-06,0.00234,"Non-endocrine","10166","solute carrier family 25 member 15","up",5.27818938478745
"YBX3",3.54,7.02,4.82,5.58e-06,0.00234,"Non-endocrine","8531","Y-box binding protein 3","up",5.25336580106242
"SLC13A3",4.17,1.12,4.82,5.65e-06,0.00234,"Non-endocrine","64849","solute carrier family 13 member 3","up",5.24795155218056
"CAND2",-2.44,4.96,-4.81,5.7e-06,0.00234,"Endocrine","23066","cullin associated and neddylation dissociated 2 (putative)","down",5.24412514432751
"SERPINI2",8.64,5.91,4.81,5.74e-06,0.00234,"Non-endocrine","5276","serpin family I member 2","up",5.24108810760203
"ANKRD22",7.96,0.316,4.82,6.08e-06,0.00234,"Non-endocrine","118932","ankyrin repeat domain 22","up",5.21609642072726
"PRSS2",8.22,13.1,4.79,6.36e-06,0.00234,"Non-endocrine","5645","serine protease 2","up",5.19654288435159
"SERPINA4",6.27,4.24,4.78,6.56e-06,0.00234,"Non-endocrine","5267","serpin family A member 4","up",5.18309616062434
"NEK6",4.43,2.94,4.77,6.82e-06,0.00234,"Non-endocrine","10783","NIMA related kinase 6","up",5.16621562534352
"MTUS1",3.43,5.93,4.77,6.93e-06,0.00234,"Non-endocrine","57509","microtubule associated scaffold protein 1","up",5.15926676538819
"SLC38A5",7.25,4.14,4.76,7.12e-06,0.00234,"Non-endocrine","92745","solute carrier family 38 member 5","up",5.14752000636314
"ANGPTL4",6.35,3.39,4.75,7.29e-06,0.00234,"Non-endocrine","51129","angiopoietin like 4","up",5.13727247168203
"STK17B",3.19,3.9,4.75,7.44e-06,0.00234,"Non-endocrine","9262","serine/threonine kinase 17b","up",5.12842706445412
"ACADL",6.51,1.92,4.74,7.54e-06,0.00234,"Non-endocrine","33","acyl-CoA dehydrogenase long chain","up",5.12262865413023
"SIX5",2.93,2.73,4.74,7.65e-06,0.00234,"Non-endocrine","147912","SIX homeobox 5","up",5.11633856484638
"RASGEF1B",-3.15,6.13,-4.74,7.69e-06,0.00234,"Endocrine","153020","RasGEF domain family member 1B","down",5.11407366019857
"KNDC1",-3.22,5.29,-4.74,7.71e-06,0.00234,"Endocrine","85442","kinase non-catalytic C-lobe domain containing 1","down",5.11294562194904
"ZFP36L1",4.5,7.83,4.73,7.87e-06,0.00234,"Non-endocrine","677","ZFP36 ring finger protein like 1","up",5.10402526764094
"TEAD4",4.55,3.23,4.73,7.87e-06,0.00234,"Non-endocrine","7004","TEA domain transcription factor 4","up",5.10402526764094
"PTF1A",7.56,1.69,4.72,8.33e-06,0.00234,"Non-endocrine","256297","pancreas associated transcription factor 1a","up",5.07935499859321
"PPIC",3.58,2.39,4.72,8.33e-06,0.00234,"Non-endocrine","5480","peptidylprolyl isomerase C","up",5.07935499859321
"ALDH1L1",6.27,3.57,4.71,8.65e-06,0.00234,"Non-endocrine","10840","aldehyde dehydrogenase 1 family member L1","up",5.06298389253519
"ADGRV1",-2.98,5.25,-4.71,8.72e-06,0.00234,"Endocrine","84059","adhesion G protein-coupled receptor V1","down",5.05948351506743
"RRBP1",2.66,8.06,4.71,8.73e-06,0.00234,"Non-endocrine","6238","ribosome binding protein 1","up",5.05898575629443
"RAB20",2.64,3.78,4.7,8.93e-06,0.00234,"Non-endocrine","55647","RAB20, member RAS oncogene family","up",5.04914854111145
"CEL",7.93,11.9,4.7,8.98e-06,0.00234,"Non-endocrine","1056","carboxyl ester lipase","up",5.0467236633327
"AKR7A3",7.04,4.28,4.69,9.49e-06,0.00241,"Non-endocrine","22977","aldo-keto reductase family 7 member A3","up",5.02273378757271
"GPC4",3.44,3.21,4.68,9.77e-06,0.00241,"Non-endocrine","2239","glypican 4","up",5.01010543628123
"HADH",-3.28,8.1,-4.67,9.92e-06,0.00241,"Endocrine","3033","hydroxyacyl-CoA dehydrogenase","down",5.00348832784582
"C13orf46",6.01,0.879,4.67,1.03e-05,0.00241,"Non-endocrine","100507747","chromosome 13 open reading frame 46","up",4.98716277529483
"IMPA2",4.63,5.45,4.67,1.03e-05,0.00241,"Non-endocrine","3613","inositol monophosphatase 2","up",4.98716277529483
"YAP1",3.08,4.32,4.66,1.04e-05,0.00241,"Non-endocrine","10413","Yes associated protein 1","up",4.98296666070122
"TMEM52",6.74,2.82,4.67,1.04e-05,0.00241,"Non-endocrine","339456","transmembrane protein 52","up",4.98296666070122
"ZNF98",5.2,0.232,4.66,1.06e-05,0.00242,"Non-endocrine","148198","zinc finger protein 98","up",4.97469413473523
