"Feature","Coefficient","Average level","T_statistic","P_value","Adjusted p_value","Associated proportions","Gene_ID","Description","sig","negLogPval"
"FGB",76.7,0.375,4.39,3.07e-05,0.439,"None","2244","fibrinogen beta chain","NS",4.51286162452281
"FAM102B",20.9,3.22,4.03,0.000114,0.604,"None","284611","family with sequence similarity 102 member B","NS",3.94309514866353
"MYO1G",29.3,-0.126,3.94,0.000161,0.604,"Non-endocrine","64005","myosin IG","NS",3.79317412396815
"CACNA2D3",28.1,1.06,3.87,0.000204,0.604,"None","55799","calcium voltage-gated channel auxiliary subunit alpha2delta 3","NS",3.6903698325741
"CSF3R",41.5,-0.986,3.84,0.000236,0.604,"None","1441","colony stimulating factor 3 receptor","NS",3.62708799702989
"SMOC1",27.2,4.52,3.8,0.000254,0.604,"Non-endocrine","64093","SPARC related modular calcium binding 1","NS",3.59516628338006
"ADAM20",-31.7,-2.06,-3.81,0.000295,0.604,"None","8748","ADAM metallopeptidase domain 20","NS",3.53017798402184
"ADCYAP1",-26.7,7.5,-3.68,0.000389,0.689,"Endocrine","116","adenylate cyclase activating polypeptide 1","NS",3.41005039867429
"P4HA2",14.7,5.6,3.63,0.000457,0.689,"Non-endocrine","8974","prolyl 4-hydroxylase subunit alpha 2","NS",3.34008379993015
"GCNT3",26.3,2.82,3.57,0.000564,0.689,"None","9245","glucosaminyl (N-acetyl) transferase 3, mucin type","NS",3.24872089601666
"SLC13A5",-39.3,0.68,-3.52,0.00067,0.689,"Endocrine","284111","solute carrier family 13 member 5","NS",3.17392519729917
"GPR153",24.7,1.78,3.47,0.000796,0.689,"None","387509","G protein-coupled receptor 153","NS",3.09908693226233
"PPP1R3B",23.6,3.58,3.45,0.000857,0.689,"None","79660","protein phosphatase 1 regulatory subunit 3B","NS",3.0670191780768
"LANCL3",35.7,-1.77,3.46,0.000928,0.689,"None","347404","LanC like 3","NS",3.03245202378114
"HHATL",-37.1,3.68,-3.41,0.000977,0.689,"None","57467","hedgehog acyltransferase like","NS",3.01010543628123
"CHD5",24.4,3.81,3.37,0.00108,0.689,"None","26038","chromodomain helicase DNA binding protein 5","NS",2.96657624451305
"P2RX6",-25.3,2.43,-3.35,0.00115,0.689,"None","9127","purinergic receptor P2X 6","NS",2.93930215964639
"LAMB1",15.6,6.86,3.35,0.00119,0.689,"Non-endocrine","3912","laminin subunit beta 1","NS",2.92445303860747
"FBLIM1",14,4.69,3.33,0.00123,0.689,"Non-endocrine","54751","filamin binding LIM protein 1","NS",2.9100948885606
"KCNC2",31.7,0.718,3.33,0.00125,0.689,"None","3747","potassium voltage-gated channel subfamily C member 2","NS",2.90308998699194
"NPNT",20.1,4.94,3.32,0.0013,0.689,"Non-endocrine","255743","nephronectin","NS",2.88605664769316
