"Feature","Log2FC","Average level","T_statistic","P_value","Adjusted p_value","Associated proportions","Gene_ID","Description","sig","negLogPval"
"HHATL",-1.93,3.68,-5.81,8.76e-08,0.00125,"None","57467","hedgehog acyltransferase like","down",7.05749589383192
"P2RX6",-1.29,2.43,-5.6,2.19e-07,0.00156,"None","9127","purinergic receptor P2X 6","down",6.65955588515988
"GABRA2",-2.61,0.123,-5.49,3.78e-07,0.0018,"None","2555","gamma-aminobutyric acid type A receptor subunit alpha2","down",6.42250820016277
"GRIN2D",-1.57,1.01,-5.08,1.98e-06,0.00706,"Endocrine","2906","glutamate ionotropic receptor NMDA type subunit 2D","down",5.70333480973847
"FAIM2",1.83,1.94,4.96,3.26e-06,0.00932,"None","23017","Fas apoptotic inhibitory molecule 2","up",5.48678239993206
"CLTRN",-1.43,4.25,-4.84,5.18e-06,0.0123,"None","57393","collectrin, amino acid transport regulator","down",5.28567024025477
"CNIH2",-1.18,6.55,-4.73,8.05e-06,0.0139,"None","254263","cornichon family AMPA receptor auxiliary protein 2","down",5.09420411963213
"SYT13",-0.899,8.57,-4.73,8.14e-06,0.0139,"Endocrine","57586","synaptotagmin 13","down",5.0893755951108
"PPP1R1A",-1.39,7.58,-4.71,8.8e-06,0.0139,"None","5502","protein phosphatase 1 regulatory inhibitor subunit 1A","down",5.05551732784983
"GSN",-1.23,8.48,-4.66,1.04e-05,0.0149,"None","2934","gelsolin","down",4.98296666070122
"PTPRN",-0.91,10.4,-4.64,1.15e-05,0.0149,"Endocrine","5798","protein tyrosine phosphatase receptor type N","down",4.93930215964639
"IAPP",-2.71,10.5,-4.61,1.31e-05,0.0155,"None","3375","islet amyloid polypeptide","down",4.88272870434424
"BARX1",1.57,-1.14,4.57,1.57e-05,0.0172,"None","56033","BARX homeobox 1","up",4.80410034759077
"CAMKV",-1.34,-0.105,-4.52,1.84e-05,0.0188,"None","79012","CaM kinase like vesicle associated","down",4.73518217699046
"ADCYAP1",-0.995,7.5,-4.47,2.2e-05,0.0205,"Endocrine","116","adenylate cyclase activating polypeptide 1","down",4.65757731917779
"ITGA10",-2.12,4.19,-4.45,2.39e-05,0.0205,"None","8515","integrin subunit alpha 10","down",4.62160209905186
"SYP",-0.693,7.63,-4.45,2.44e-05,0.0205,"None","6855","synaptophysin","down",4.61261017366127
"PCOLCE2",1.63,-1.1,4.43,2.79e-05,0.0208,"None","26577","procollagen C-endopeptidase enhancer 2","up",4.5543957967264
"STX1A",-0.811,7.03,-4.4,2.87e-05,0.0208,"None","6804","syntaxin 1A","down",4.54211810326601
"HADH",-0.864,8.1,-4.39,3.05e-05,0.0208,"Endocrine","3033","hydroxyacyl-CoA dehydrogenase","down",4.51570016065321
"PKIB",-0.808,5.2,-4.37,3.3e-05,0.0208,"Endocrine","5570","cAMP-dependent protein kinase inhibitor beta","down",4.48148606012211
"SLC6A17",-0.846,6.49,-4.36,3.35e-05,0.0208,"Endocrine","388662","solute carrier family 6 member 17","down",4.47495519296315
"ELFN1",1.5,0.632,4.36,3.35e-05,0.0208,"None","392617","extracellular leucine rich repeat and fibronectin type III domain containing 1","up",4.47495519296315
"CPE",-0.92,11.7,-4.31,4.02e-05,0.0239,"None","1363","carboxypeptidase E","down",4.39577394691553
"RASSF10",-1.5,0.509,-4.3,4.28e-05,0.0244,"None","644943","Ras association domain family member 10","down",4.36855623098683
"ABCA3",-0.736,7.47,-4.29,4.49e-05,0.0246,"Endocrine","21","ATP binding cassette subfamily A member 3","down",4.34775365899668
"ARRB1",0.933,3.39,4.27,4.83e-05,0.0255,"Non-endocrine","408","arrestin beta 1","up",4.31605286924849
"PHACTR1",1.04,1.48,4.24,5.44e-05,0.0269,"None","221692","phosphatase and actin regulator 1","up",4.26440110030182
"LRRC10B",-0.821,5.36,-4.23,5.47e-05,0.0269,"None","390205","leucine rich repeat containing 10B","down",4.26201267366657
"INPP5F",-0.695,6.42,-4.15,7.54e-05,0.0354,"None","22876","inositol polyphosphate-5-phosphatase F","down",4.12262865413023
"ARG2",-0.999,5.14,-4.14,7.72e-05,0.0354,"None","384","arginase 2","down",4.11238269966426
"DUSP26",-0.652,6.15,-4.12,8.16e-05,0.0354,"Endocrine","78986","dual specificity phosphatase 26","down",4.08830984124614
"IL1B",1.6,3.83,4.12,8.38e-05,0.0354,"None","3553","interleukin 1 beta","up",4.07675598136972
"SV2B",1.05,2.84,4.11,8.45e-05,0.0354,"None","9899","synaptic vesicle glycoprotein 2B","up",4.07314329105031
"CTNNA2",-0.896,4.31,-4.09,9.29e-05,0.0379,"None","1496","catenin alpha 2","down",4.03198428600636
