"Feature","Coefficient","Average level","T_statistic","P_value","Adjusted p_value","Associated proportions","Gene_ID","Description","sig","negLogPval"
"GALK1",5.14,0.747,21.9,2.57e-46,1.58e-42,"Non-endocrine","2584","galactokinase 1","up",45.5900668766687
"KLC2",-2.37,2.47,-21.6,8.22e-46,2.52e-42,"--","64837","kinesin light chain 2","down",45.0851281824599
"RAB3B",-3.55,4.88,-21.2,8.17e-45,1.67e-41,"None","5865","RAB3B, member RAS oncogene family","down",44.0877779434676
"EPB41L3",-3.33,2.58,-20.8,6.08e-44,9.32e-41,"Endocrine","23136","erythrocyte membrane protein band 4.1 like 3","down",43.2160964207273
"CRMP1",-3.36,3.78,-20.6,1.07e-43,1.31e-40,"Endocrine","1400","collapsin response mediator protein 1","down",42.9706162223148
"MPST",3.99,1.16,20.4,3.47e-43,3.55e-40,"Non-endocrine","4357","mercaptopyruvate sulfurtransferase","up",42.4596705252091
"STXBP1",-4.05,3.84,-20.3,4.61e-43,4.05e-40,"Endocrine","6812","syntaxin binding protein 1","down",42.3362990746104
"LRRC59",5.18,3.65,20.1,1.44e-42,1.11e-39,"None","55379","leucine rich repeat containing 59","up",41.8416375079047
"KIF5C",-4.13,1.35,-19.8,5.84e-42,3.98e-39,"Endocrine","3800","kinesin family member 5C","down",41.2335871528876
"SYN1",-3.65,0.875,-19.8,6.92e-42,4.25e-39,"Endocrine","6853","synapsin I","down",41.1598939055432
"IQGAP2",7.53,1.05,19.7,1.05e-41,5.84e-39,"Non-endocrine","10788","IQ motif containing GTPase activating protein 2","up",40.9788107009301
"CADM1",-4.21,0.838,-19.6,1.96e-41,1e-38,"Endocrine","23705","cell adhesion molecule 1","down",40.7077439286435
"RTN1",-4.16,3.45,-19.4,4.83e-41,2.28e-38,"None","6252","reticulon 1","down",40.3160528692485
"STX1A",-3.7,2.23,-19.1,3.13e-40,1.37e-37,"None","6804","syntaxin 1A","down",39.5044556624536
"SNAP91",-3.72,0.483,-19,5.58e-40,2.28e-37,"Endocrine","9892","synaptosome associated protein 91","down",39.2533658010624
"RAP1GAP2",-3.6,1.68,-18.9,6.14e-40,2.36e-37,"None","23108","RAP1 GTPase activating protein 2","down",39.2118316288588
"MAPRE3",-3.06,1.75,-18.9,6.93e-40,2.5e-37,"Endocrine","22924","microtubule associated protein RP/EB family member 3","down",39.1592667653882
"SCGN",-4.89,5.44,-18.8,1.03e-39,3.51e-37,"Endocrine","10590","secretagogin, EF-hand calcium binding protein","down",38.9871627752948
"SCAMP1",-2.64,1.55,-18.7,2.08e-39,6.71e-37,"--","9522","secretory carrier membrane protein 1","down",38.6819366650372
"IDH2",5.08,3.11,18.6,4.13e-39,1.27e-36,"Non-endocrine","3418","isocitrate dehydrogenase (NADP(+)) 2","up",38.3840499483436
"SNTB1",7.04,0.524,18.5,5.4e-39,1.58e-36,"Non-endocrine","6641","syntrophin beta 1","up",38.267606240177
"ATP6V1B2",-2.55,4.5,-18.4,9.21e-39,2.57e-36,"--","526","ATPase H+ transporting V1 subunit B2","down",38.0357403698032
"MAP1B",-4.42,2.73,-18.3,1.78e-38,4.75e-36,"None","4131","microtubule associated protein 1B","down",37.7495799976911
"ATP6V1E1",-2.33,3.71,-18.3,1.87e-38,4.77e-36,"--","529","ATPase H+ transporting V1 subunit E1","down",37.7281583934635
"ELAVL4",-3.02,0.795,-18.2,2.82e-38,6.91e-36,"None","1996","ELAV like RNA binding protein 4","down",37.5497508916806
"TST",5.79,0.789,18.2,3.47e-38,8.2e-36,"Non-endocrine","7263","thiosulfate sulfurtransferase","up",37.4596705252091
"LRP11",-2.67,0.105,-18.1,5.99e-38,1.36e-35,"None","84918","LDL receptor related protein 11","down",37.2225731776107
"ATP6V1A",-2.47,4.04,-18,6.95e-38,1.52e-35,"None","523","ATPase H+ transporting V1 subunit A","down",37.1580151954099
"RIMBP2",-6.67,-0.818,-18,7.86e-38,1.66e-35,"None","23504","RIMS binding protein 2","down",37.1045774539606
"PTPRN",-5.03,2.71,-18,8.33e-38,1.7e-35,"Endocrine","5798","protein tyrosine phosphatase receptor type N","down",37.0793549985932
"TOM1L2",-2.29,1.59,-17.8,2.02e-37,4.01e-35,"None","146691","target of myb1 like 2 membrane trafficking protein","down",36.6946486305534
"CADPS",-3.85,3.21,-17.8,2.42e-37,4.64e-35,"Endocrine","8618","calcium dependent secretion activator","down",36.6161846340196
"NADK2",3.08,0.384,17.6,9.17e-37,1.71e-34,"None","133686","NAD kinase 2, mitochondrial","up",36.03763066433
"RAB12",-2.51,1.15,-17.6,9.89e-37,1.79e-34,"None","201475","RAB12, member RAS oncogene family","down",36.0048037084028
"PHGDH",8.27,2.55,17.5,1.28e-36,2.23e-34,"Non-endocrine","26227","phosphoglycerate dehydrogenase","up",35.8927900303521
"NIBAN1",6.87,0.311,17.5,1.31e-36,2.23e-34,"Non-endocrine","116496","niban apoptosis regulator 1","up",35.8827287043442
"RUNDC3A",-2.76,0.172,-17.5,1.67e-36,2.76e-34,"Endocrine","10900","RUN domain containing 3A","down",35.7772835288524
"SYT17",-3.05,-0.208,-17.4,2.56e-36,4.14e-34,"None","51760","synaptotagmin 17","down",35.5917600346881
"GPRIN1",-3.63,0.345,-17.3,4.16e-36,6.54e-34,"None","114787","G protein regulated inducer of neurite outgrowth 1","down",35.3809066693733
"NAPB",-3.33,0.188,-17.3,4.47e-36,6.86e-34,"--","63908","NSF attachment protein beta","down",35.3496924768681
"LDHB",3.73,4.04,17.2,5.71e-36,8.4e-34,"None","3945","lactate dehydrogenase B","up",35.2433638917542
"ATP6V1D",-2.61,2.7,-17.2,5.75e-36,8.4e-34,"None","51382","ATPase H+ transporting V1 subunit D","down",35.2403321553104
"XPNPEP1",3.29,2.12,17.2,7.58e-36,1.08e-33,"None","7511","X-prolyl aminopeptidase 1","up",35.1203307943679
"TACSTD2",7.95,0.384,17.2,8.12e-36,1.13e-33,"None","4070","tumor associated calcium signal transducer 2","up",35.0904439707588
"GIPC2",8.43,-0.525,17.1,1e-35,1.36e-33,"Non-endocrine","54810","GIPC PDZ domain containing family member 2","up",35
"CAMK2B",-3.49,0.587,-17.1,1.12e-35,1.49e-33,"Endocrine","816","calcium/calmodulin dependent protein kinase II beta","down",34.9507819773298
"ENO2",-4.24,4.29,-17.1,1.14e-35,1.49e-33,"Endocrine","2026","enolase 2","down",34.9430951486635
"GDAP1",-3.14,1.65,-17,1.56e-35,1.99e-33,"Endocrine","54332","ganglioside induced differentiation associated protein 1","down",34.8068754016455
"TMEM63A",6.98,-0.908,16.9,2.96e-35,3.7e-33,"Non-endocrine","9725","transmembrane protein 63A","up",34.5287082889411
"LYSMD2",-3.05,1.86,-16.8,4.48e-35,5.5e-33,"None","256586","LysM domain containing 2","down",34.3487219860019
"SH3GL2",-2.43,3.23,-16.8,5.1e-35,6.14e-33,"Endocrine","6456","SH3 domain containing GRB2 like 2, endophilin A1","down",34.2924298239021
"ACSS1",6.86,0.0084,16.8,6.49e-35,7.66e-33,"Non-endocrine","84532","acyl-CoA synthetase short chain family member 1","up",34.1877553031996
